c_ls,c_lq,lam_gamma,ls_prior,ls_post,ls_gain,lq_prior,lq_post,lq_gain,mse_ls,mse_lq,bias_ls,bias_lq,nll,n_ls,n_lq
0.58,0.58,10.0,0.8976740146408603,0.8341967565083114,-0.0634772581325489,0.7611674105657394,0.7889147782417433,0.0277473676760038,0.1340289161747423,0.1795488579017573,-0.0382529622040523,-0.0309699672396326,6324.5229053125495,418,229
0.58,0.6,10.0,0.8976740146408603,0.8344701673080379,-0.0632038473328223,0.7689076859996281,0.7835428458629633,0.0146351598633351,0.1341865463435906,0.1782117775284928,-0.0382542027530961,-0.0136025308111679,6324.885658521323,418,229
0.58,0.62,10.0,0.8976740146408603,0.8344701673080379,-0.0632038473328223,0.7701572683068789,0.785437814693416,0.015280546386537,0.134335803987579,0.1775763400633692,-0.0382565394085312,0.0034595526641797,6325.243696445374,418,229
0.58,0.64,10.0,0.8976740146408603,0.8339319634739047,-0.0637420511669555,0.7698135260276527,0.7917172495442794,0.0219037235166266,0.1344771675267791,0.1776009862580118,-0.0382595577511607,0.0201860904711677,6325.59189610393,418,229
0.58,0.66,10.0,0.8976740146408603,0.8339319634739047,-0.0637420511669555,0.7698135260276527,0.7919285078200538,0.022114981792401,0.1346110995867847,0.1782427415515646,-0.0382630070015885,0.0365536675943173,6325.928199220279,418,229
0.58,0.68,10.0,0.8976740146408603,0.8340864328522813,-0.0635875817885789,0.7715251402299855,0.7929668318515302,0.0214416916215446,0.1347380150033574,0.1794589726293537,-0.0382667975833894,0.0525450515527923,6326.252493438627,418,229
0.6,0.58,10.0,0.8971744955753288,0.8342816482279762,-0.0628928473473525,0.7611674105657394,0.7892585205209695,0.02809110995523,0.1331852286641146,0.1794680197901756,-0.0215303841132422,-0.0309759501793821,6322.809068484998,418,229
0.6,0.6,10.0,0.8971744955753288,0.8338979137722196,-0.0632765818031092,0.7689076859996281,0.7838865881421895,0.0149789021425613,0.1333238064150866,0.1781393444917013,-0.021542376347322,-0.0136063642708799,6323.166253670315,418,229
0.6,0.62,10.0,0.8971744955753288,0.8338979137722196,-0.0632765818031092,0.7701572683068789,0.7850940724141898,0.0149368041073109,0.1334561444698794,0.1775118709441807,-0.0215545276687137,0.0034578122849444,6323.519055793777,418,229
0.6,0.64,10.0,0.8971744955753288,0.8342429634593744,-0.0629315321159543,0.7698135260276527,0.7922722500992799,0.0224587240716271,0.1335823631183126,0.1775442854521738,-0.0215666152201915,0.0201863009153835,6323.86376494202,418,229
0.6,0.66,10.0,0.8971744955753288,0.8340884940809979,-0.0630860014943308,0.7698135260276527,0.7919285078200538,0.022114981792401,0.133702676980946,0.1781937046550003,-0.0215785250998135,0.0365556128699802,6324.198387922715,418,229
0.6,0.68,10.0,0.8971744955753288,0.8342429634593744,-0.0629315321159543,0.7715251402299855,0.7924047341027317,0.0208795938727461,0.1338172681100882,0.1794174738115851,-0.0215902801577899,0.0525484702574681,6324.522650116847,418,229
0.62,0.58,10.0,0.8971762538623163,0.8346955528527856,-0.0624807010095306,0.7611674105657394,0.7892585205209695,0.02809110995523,0.1332710258646635,0.179379527674091,-0.0038120133306215,-0.0310027633770368,6321.501107313852,418,229
0.62,0.6,10.0,0.8971762538623163,0.8348500222311622,-0.062326231631154,0.7689076859996281,0.7924030716586731,0.0234953856590449,0.1333956277572878,0.1780576759340467,-0.0038317892958146,-0.0136299806045666,6321.857798475941,418,229
