No,이름,ls_prior_auc,ls_prior_mse,ls_prior_bias,ls_post_mse,lq_prior_auc,lq_prior_mse,lq_prior_bias,lq_post_mse
②1,3번 b4,0.8777701664852648,0.12461817022823049,0.05993026140868196,0.15245606418202126,0.715445570663787,0.24118629869467914,-0.19117005787214314,0.2280262782090793
②2,3번 b10,0.8777701664852648,0.13059642722576215,0.0839872888611084,0.14979258736960055,0.715445570663787,0.2530748218082065,-0.21611057802910877,0.24277223987238536
②3,6번 b10,0.8777701664852648,0.1299754267863622,0.08052690509670501,0.14700254463604476,0.8372328435881067,0.23742038440589347,-0.21939779306975132,0.2408705471471038
③1,3번 자연혼재,0.9023213006079545,0.11248900486487831,0.13503777896008018,0.12751506925332443,0.715445570663787,0.2530748218082065,-0.21611057802910877,0.24277223987238536
③2,6번 자연혼재,0.9023213006079545,0.11139519961107429,0.13159260540481038,0.12420998465208717,0.8372328435881067,0.23742038440589347,-0.21939779306975132,0.2408705471471038
A,fixed,0.8850064316147492,0.3713932874057777,0.4479274462996616,0.36826109428820525,0.7698132442003763,0.25224575674365707,0.257496901681631,0.24974354555110187
B,tied,0.8850064316147492,0.1348581121307276,0.08912673214738659,0.14092424825040684,0.7698132442003763,0.24623644296398722,-0.2422472376370434,0.25298949250579617
C,bounded,0.8968936003375807,0.11258413264423765,0.008833378303270023,0.11479278111477809,0.7708815568191858,0.24156484627498828,-0.2248338120206409,0.25068679662780585
D,free,0.8775986722560457,0.13755053376537907,0.09116893391804898,0.15551640717849002,0.7784457535241298,0.23390655963060744,-0.21931274882778323,0.24114520878500492
E,a1-c05,0.8967391309592042,0.13729874672572187,-0.1209240673698366,0.1428588941069642,0.7570032442862361,0.20189006401289722,-0.10936145031043282,0.19320712991321065
F,a1-c2,0.8373188523407639,0.7069296727157011,0.714791063171968,0.706800147537496,0.7686894582468381,0.48967577704876614,0.5008268883763095,0.4896167745585785
G,lq-c05,0.8850064316147492,0.3713932874057777,0.4479274462996616,0.3684689278385209,0.7570032442862361,0.20189006401289722,-0.10936145031043282,0.19291888567564372
H,lq-c075,0.8850064316147492,0.3713932874057777,0.4479274462996616,0.3685447999780257,0.7725097545303329,0.19292234249054283,0.10393236688151097,0.18676857923226484
I,lq-c-free,0.8850064316147492,0.3713932874057777,0.4479274462996616,0.3684228431839567,0.7547224351413069,0.22325839684021093,-0.17096583673071863,0.21547665143224404
J,b-only,0.8850064316147492,0.1339889579002335,0.08249585733465309,0.14690230816990701,0.7698132442003763,0.228363352776135,-0.20020019082491114,0.2217175699235435
