실험,브랜치,결과,prior_mode,lam_gamma,b_bound,b_min,b_max,run_tag,mse_ls,mse_lq,auc_ls,auc_lq,auc_prior_ls,auc_prior_lq,auc_zprior_ls,auc_zprior_lq,auc_zprior_ls_wavg,auc_zprior_lq_wavg,gain_ls,gain_lq,gain_ls_wavg,gain_lq_wavg,auc_ls_wavg,auc_lq_wavg,auc_prior_ls_wavg,auc_prior_lq_wavg,auc_ls_niigata2004,auc_prior_ls_niigata2004,n_ls,n_lq,n,a_LS,b_LS,a_LQ,b_LQ,gamma_ls_max,gamma_lq_max,sum_gamma2,frac_middle,c_LS,c_LQ
1 3번 b4,followup3-avg-b4,followup3-avg-b4,bounded,10.0,,-2.0,4.0,bounded_lam10_b4,0.1524560641820213,0.2280262782090792,0.7881941274912522,0.7863149847094802,0.857173284649323,0.7485474006116207,0.857173284649323,0.7485474006116207,0.8777701664852648,0.715445570663787,-0.0689791571580707,0.0377675840978595,-0.0852683417063848,0.0349301747919258,0.79250182477888,0.7503757454557128,0.8777701664852648,0.715445570663787,0.9254807692307692,0.96875,418,229,418,0.7274190934799594,3.9540711698038074,0.5044058479070177,1.0587060034026514,0.9690246036259024,0.5559406013701573,4.639097608375948,0.6411483253588517,,
1 3번 b4,followup3-avg-b4,followup3-avg-b4,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
1 3번 b4,followup3-avg-b4,followup3-avg-b4,[베이스라인] 전부 기저확률,,,,,,0.1880966552963531,0.2494231612669476,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
2 3번 b10,followup3-avg-b10,followup3-avg-b10,bounded,10.0,,-2.0,10.0,bounded_lam10_b10,0.1497925873696005,0.2427722398723853,0.8303362239464477,0.7896788990825688,0.857173284649323,0.7485474006116207,0.857173284649323,0.7485474006116207,0.8777701664852648,0.715445570663787,-0.0268370607028752,0.0411314984709481,-0.0351666305378267,0.0508526301748217,0.8426035359474381,0.7662982008386088,0.8777701664852648,0.715445570663787,0.9567307692307692,0.96875,418,229,418,1.568403632675413,9.522993449631365,0.5036324030079448,0.9051038253663326,0.9147098992157852,0.685738901101657,4.8524938142723,0.5119617224880383,,
2 3번 b10,followup3-avg-b10,followup3-avg-b10,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
2 3번 b10,followup3-avg-b10,followup3-avg-b10,[베이스라인] 전부 기저확률,,,,,,0.1880966552963531,0.2494231612669476,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
3 6번 b10,followup3-lqmax-b10,followup3-lqmax-b10,bounded,10.0,,-2.0,10.0,bounded_lam10_b10,0.1470025446360447,0.2408705471471037,0.8318575992697399,0.8038990825688074,0.857173284649323,0.8633792048929664,0.857173284649323,0.8633792048929664,0.8777701664852648,0.8372328435881067,-0.025315685379583,-0.059480122324159,-0.037222664269885,-0.0619203956163426,0.8405475022153798,0.775312447971764,0.8777701664852648,0.8372328435881067,0.9639423076923076,0.96875,418,229,418,1.582856784429489,9.588503781595774,0.5054128561243995,-0.3364140951384531,0.8882736762121091,0.938610622506176,5.705213786116216,0.534688995215311,,
3 6번 b10,followup3-lqmax-b10,followup3-lqmax-b10,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
3 6번 b10,followup3-lqmax-b10,followup3-lqmax-b10,[베이스라인] 전부 기저확률,,,,,,0.1880966552963531,0.2494231612669476,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
4 3번 b10 자연혼재,followup3-avg-b10,followup3-avg-b10-natmix,bounded,10.0,,-2.0,10.0,bounded_lam10_b10-natmix,0.1275150692533244,0.2427722398723853,0.880487114131974,0.7896788990825688,0.900979083222074,0.7485474006116207,0.900979083222074,0.7485474006116207,0.9023213006079543,0.715445570663787,-0.0204919690900998,0.0411314984709481,-0.0385149044336137,0.0508526301748217,0.8638063961743407,0.7662982008386088,0.9023213006079543,0.715445570663787,0.9567307692307692,0.96875,398,229,412,1.568403632675413,9.522993449631365,0.5036324030079448,0.9051038253663326,0.9147098992157852,0.685738901101657,4.8524938142723,0.5119617224880383,,
4 3번 b10 자연혼재,followup3-avg-b10,followup3-avg-b10-natmix,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,398,229,412,,,,,,,,,,
4 3번 b10 자연혼재,followup3-avg-b10,followup3-avg-b10-natmix,[베이스라인] 전부 기저확률,,,,,,0.1560377263200424,0.2494231612669476,,,,,,,,,,,,,,,,,,,398,229,412,,,,,,,,,,
5 6번 b10 자연혼재,followup3-lqmax-b10,followup3-lqmax-b10-natmix,bounded,10.0,,-2.0,10.0,bounded_lam10_b10-natmix,0.1242099846520871,0.2408705471471037,0.8831573411012663,0.8038990825688074,0.900979083222074,0.8633792048929664,0.900979083222074,0.8633792048929664,0.9023213006079543,0.8372328435881067,-0.0178217421208075,-0.059480122324159,-0.0376947016292251,-0.0619203956163426,0.8646265989787293,0.775312447971764,0.9023213006079543,0.8372328435881067,0.9639423076923076,0.96875,398,229,412,1.582856784429489,9.588503781595774,0.5054128561243995,-0.3364140951384531,0.8882736762121091,0.938610622506176,5.705213786116216,0.534688995215311,,
5 6번 b10 자연혼재,followup3-lqmax-b10,followup3-lqmax-b10-natmix,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,398,229,412,,,,,,,,,,
5 6번 b10 자연혼재,followup3-lqmax-b10,followup3-lqmax-b10-natmix,[베이스라인] 전부 기저확률,,,,,,0.1560377263200424,0.2494231612669476,,,,,,,,,,,,,,,,,,,398,229,412,,,,,,,,,,
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,area-fixed,0.0,,,,,0.3486652538883441,0.249728282715984,0.7773315076829453,0.8271406727828746,0.857173284649323,0.7485474006116207,0.8484405902936254,0.818348623853211,0.8850064316147492,0.7698132442003763,-0.07110908261068,0.0087920489296635,-0.0986179957891826,0.0021240918223133,0.7863884358255666,0.7719373360226897,0.8777701664852648,0.715445570663787,0.908653846153846,0.96875,418,229,418,1.0,0.0,1.0,0.0,3.395219157923355,0.6598221996726036,46.78957615530334,0.3995215311004784,1.0,1.0
