No,mode,학습,a_LS,b_LS,c_LS,a_LQ,b_LQ,c_LQ,ctr_LS,ctr_LQ,raw_ls,zpri_ls,post_ls,gain_ls,mse_ls,bias_ls,raw_lq,zpri_lq,post_lq,gain_lq,mse_lq,bias_lq,중간대,니가타LS
A,fixed,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7485714285714286,0.8409523809523809,0.8395238095238096,-0.0014285714285713347,0.0998487663732678,0.006185994183252608,0.7485474006116207,0.818348623853211,0.8225535168195719,0.00420489296636084,0.2497435455511018,0.25626762330674746,0.4808612440191387,1.0
B,tied,4,0.6800692249437378,-1.86433474333748,0.6800692249437378,0.5049636172398974,-1.9625003591098469,0.5049636172398974,0.0,0.0,0.7485714285714286,0.8409523809523809,0.8076190476190476,-0.033333333333333326,0.2424117376047364,-0.3024862443516475,0.7485474006116207,0.818348623853211,0.8374617737003058,0.01911314984709478,0.1994967457566753,-0.14237041352127466,0.6483253588516746,0.75
C,bounded,4,1.7341386616799708,2.016499200246634,1.0,1.1199798477125755,-1.947206637661827,1.0,0.0,0.0,0.7485714285714286,0.8257142857142857,0.7985714285714285,-0.027142857142857246,0.2268866291085194,-0.23478936356139257,0.7485474006116207,0.8159785932721713,0.8297400611620795,0.013761467889908285,0.172192651739556,0.006740806613643735,0.4820574162679426,0.8125
D,free,6,1.1640738521128264,3.8231650098544216,0.3638960843063045,0.5094467264131743,-1.7613092597029223,0.4159158906070926,0.0,0.0,0.7485714285714286,0.799047619047619,0.7680952380952382,-0.030952380952380842,0.237414862231249,-0.24823391281866758,0.7485474006116207,0.8141437308868502,0.8310397553516821,0.01689602446483185,0.2337249598995442,-0.20410770200454365,0.5645933014354066,0.6875
E,a1-c05,0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.7485714285714286,0.819047619047619,0.7857142857142857,-0.033333333333333326,0.4191938525760641,-0.49429229254682416,0.7485474006116207,0.7978593272171254,0.8129969418960244,0.01513761467889907,0.1932071299132106,-0.10307720392496239,0.4102870813397129,0.75
F,a1-c2,0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.7485714285714286,0.8295238095238096,0.829047619047619,-0.0004761904761905189,0.1442996419327227,0.14636088463787056,0.7485474006116207,0.8079510703363915,0.8087155963302752,0.000764525993883769,0.4896167745585785,0.5007791235939936,0.0418660287081339,0.9375
G,lq-c05,0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.7485714285714286,0.8409523809523809,0.8433333333333333,0.0023809523809523725,0.0994073025277471,0.007654855363776636,0.7485474006116207,0.7978593272171254,0.8171253822629969,0.019266055045871533,0.1929188856756437,-0.10558421006319085,0.5478468899521531,1.0
H,lq-c075,0,1.0,0.0,1.0,1.0,0.0,0.75,0.0,0.0,0.7485714285714286,0.8409523809523809,0.839047619047619,-0.0019047619047618536,0.0997649079420881,0.006584415085469253,0.7485474006116207,0.8126146788990826,0.8240061162079511,0.01139143730886849,0.1867685792322648,0.10414762377954923,0.5526315789473685,1.0
I,lq-c-free,1,1.0,0.0,1.0,1.0,0.0,0.4337486710059368,0.0,0.0,0.7485714285714286,0.8409523809523809,0.8428571428571427,0.0019047619047618536,0.0993319630371059,0.008014059814683505,0.7485474006116207,0.7908256880733945,0.8145259938837921,0.023700305810397615,0.215476651432244,-0.16582333945458355,0.5251196172248804,1.0
J,b-only,2,1.0,-2.488279750654865,1.0,1.0,-3.967209027773567,1.0,0.0,0.0,0.7485714285714286,0.8409523809523809,0.8233333333333334,-0.017619047619047534,0.2202249594761193,-0.2699601230049893,0.7485474006116207,0.818348623853211,0.8350152905198777,0.016666666666666607,0.2219454958113624,-0.1922948269167905,0.5035885167464115,0.75
K,b-only-ctr,2,1.0,5.531424580927958,1.0,1.0,2.68905262560577,1.0,8.042167882518715,6.655873521398825,0.7485714285714286,0.8409523809523809,0.8261904761904761,-0.014761904761904754,0.2219398183677134,-0.27317003497889236,0.7485474006116207,0.818348623853211,0.8349388379204893,0.01659021406727823,0.2217188247622711,-0.19222931406784716,0.5047846889952153,0.8125
L,tied-ctr,4,0.8540518473295091,4.7404555453328285,0.8540518473295091,0.5043030464159418,0.8121813233860617,0.5043030464159418,8.042167882518715,6.655873521398825,0.7485714285714286,0.8409523809523809,0.8228571428571428,-0.018095238095238053,0.2134081513948856,-0.2682915047061696,0.7485474006116207,0.818348623853211,0.8301223241590214,0.011773700305810375,0.2517867777939983,-0.22821348342840045,0.5442583732057417,0.875
M,bounded-ctr,4,1.9680454901945603,10.928194727082818,1.0,0.5075086067236533,0.8305117574364509,1.0,8.042167882518715,6.655873521398825,0.7485714285714286,0.819047619047619,0.7947619047619048,-0.024285714285714244,0.2608319821423979,-0.27704886812772733,0.7485474006116207,0.8087920489296636,0.8159785932721714,0.007186544342507761,0.2506707334204276,-0.21423204541452867,0.3755980861244019,0.9375
N,free-ctr,6,1.7243340619773089,10.572332446806795,0.0051705766280019,0.5038242442770038,0.9182884751940996,0.7907191506297262,8.042167882518715,6.655873521398825,0.7485714285714286,0.749047619047619,0.7361904761904762,-0.01285714285714279,0.2526360722465108,-0.20063030694390227,0.7485474006116207,0.8196483180428135,0.8265290519877676,0.006880733944954143,0.2403723966153622,-0.20707356377804692,0.4521531100478468,0.6875
