No,이름,ls_raw,ls_zp,ls_area,ls_post,ls_gain,mse_ls,bias_ls,base_ls,lq_raw,lq_zp,lq_area,lq_post,lq_gain,mse_lq,bias_lq,base_lq,n_ls,n_lq,c_LS,c_LQ,a_LS,b_LS,a_LQ,b_LQ
1,3번 b4,0.7968643805993205,0.7968643805993205,0.0,0.7348110390279065,-0.06205334157141407,0.2793319734473521,-0.30780737893817245,0.84,0.715445570663787,0.715445570663787,0.0,0.7503757454557128,0.03493017479192584,0.2280262782090792,-0.18039584060162572,0.4759825327510917,125,229,,,0.7274190934799594,3.954071169803808,0.5044058479070177,1.0587060034026514
2,3번 b10,0.7968643805993205,0.7968643805993205,0.0,0.7634924312635156,-0.033371949335804896,0.2510062807398157,-0.21030400805614569,0.84,0.715445570663787,0.715445570663787,0.0,0.7662982008386088,0.05085263017482178,0.2427722398723853,-0.2039158925688065,0.4759825327510917,125,229,,,1.568403632675413,9.522993449631365,0.5036324030079448,0.9051038253663326
3,6번 b10,0.7968643805993205,0.7968643805993205,0.0,0.7505792400370713,-0.046285140562249194,0.2524140657985036,-0.21112904773891983,0.84,0.8372328435881067,0.8372328435881067,0.0,0.775312447971764,-0.06192039561634266,0.2408705471471037,-0.20419731272681585,0.4759825327510917,125,229,,,1.582856784429489,9.588503781595774,0.5054128561243995,-0.3364140951384531
4,3번 자연혼재,0.8882617351397255,0.8882617351397255,0.0,0.8473746499104803,-0.040887085229245224,0.1404156863563215,0.15089611557593338,0.18421052631578946,0.715445570663787,0.715445570663787,0.0,0.7662982008386088,0.05085263017482178,0.2427722398723853,-0.2039158925688065,0.4759825327510917,418,229,,,1.568403632675413,9.522993449631365,0.5036324030079448,0.9051038253663326
5,6번 자연혼재,0.8882617351397255,0.8882617351397255,0.0,0.8481457114288896,-0.04011602371083589,0.1371212718010325,0.14768696892040997,0.18421052631578946,0.8372328435881067,0.8372328435881067,0.0,0.775312447971764,-0.06192039561634266,0.2408705471471037,-0.20419731272681585,0.4759825327510917,418,229,,,1.582856784429489,9.588503781595774,0.5054128561243995,-0.3364140951384531
A,fixed,0.7968643805993205,0.8399598393574298,0.04309545875810927,0.8550200803212852,0.015060240963855387,0.0998487663732678,0.006185994183252608,0.84,0.715445570663787,0.7698132442003763,0.054367673536589334,0.7811638620211699,0.011350617820793607,0.2497435455511018,0.25626762330674746,0.4759825327510917,125,229,1.0,1.0,1.0,0.0,1.0,0.0
B,tied,0.7968643805993205,0.8399598393574298,0.04309545875810927,0.8204252909072185,-0.019534548450211298,0.2147855366271819,-0.2703524960405016,0.84,0.715445570663787,0.7698132442003763,0.054367673536589334,0.7871013373621009,0.017288093161724527,0.2529894925057961,-0.22934296454224773,0.4759825327510917,125,229,0.8890630358122407,0.5042456068699199,0.8890630358122407,4.913802665460381,0.5042456068699199,0.8037535238086804
C,bounded,0.7968643805993205,0.8162676346411286,0.019403254041808093,0.8030867057975491,-0.013180928843579465,0.256347104280172,-0.26914455874966914,0.84,0.715445570663787,0.7708815568191858,0.0554359861553988,0.7812510185045455,0.010369461685359682,0.2506867966278058,-0.21426418751483323,0.4759825327510917,125,229,1.0,1.0,1.9766451434571248,11.063044786600129,0.5076031407489251,0.8302828512779357
D,free,0.7968643805993205,0.7968643805993205,0.0,0.7710225517454433,-0.025841828853877202,0.25265216745466,-0.19172561981656633,0.84,0.715445570663787,0.7784457535241298,0.06300018286034281,0.7813957150778135,0.0029499615536836554,0.2411452087850049,-0.20794457980100628,0.4759825327510917,125,229,0.0062676832952768,0.7820254320263271,1.8616153745419104,11.492543883093449,0.5038246365008456,0.9129131690871476
E,a1-c05,0.7968643805993205,0.8162676346411286,0.019403254041808093,0.7914684378539801,-0.02479919678714848,0.4191938525760641,-0.49429229254682416,0.84,0.715445570663787,0.7570032442862361,0.04155767362244911,0.7913576504333986,0.03435440614716245,0.1932071299132106,-0.10307720392496239,0.4759825327510917,125,229,0.5,0.5,1.0,0.0,1.0,0.0
F,a1-c2,0.7968643805993205,0.8679358459478941,0.07107146534857356,0.8657939450108125,-0.0021419009370815534,0.1442996419327227,0.14636088463787056,0.84,0.715445570663787,0.7686894582468381,0.0532438875830511,0.7681273604980395,-0.0005620977487985623,0.4896167745585785,0.5007791235939936,0.4759825327510917,125,229,2.0,2.0,1.0,0.0,1.0,0.0
G,lq-c05,0.7968643805993205,0.8399598393574298,0.04309545875810927,0.8550200803212852,0.015060240963855387,0.0994073025277471,0.007654855363776636,0.84,0.715445570663787,0.7570032442862361,0.04155767362244911,0.7905010056344223,0.03349776134818616,0.1929188856756437,-0.10558421006319085,0.4759825327510917,125,229,1.0,0.5,1.0,0.0,1.0,0.0
H,lq-c075,0.7968643805993205,0.8399598393574298,0.04309545875810927,0.8506693440428382,0.010709504685408433,0.0997649079420881,0.006584415085469253,0.84,0.715445570663787,0.7725097545303329,0.05706418386654588,0.7954588992722339,0.022949144741901017,0.1867685792322648,0.10414762377954923,0.4759825327510917,125,229,1.0,0.75,1.0,0.0,1.0,0.0
