event,시정촌코드,area_km2
2000 돗토리,31328,224.61
2000 돗토리,31203,174.5
2000 돗토리,31362,14.56
2000 돗토리,31364,233.46
2000 돗토리,31365,97.65
2000 돗토리,31366,20.92
2000 돗토리,31367,36.23
2000 돗토리,31368,82.2
2000 돗토리,31202,106.41
2000 돗토리,31204,28.75
2000 돗토리,31381,83.08
2000 돗토리,31382,30.95
2000 돗토리,31383,39.09
2000 돗토리,31384,4.16
2000 돗토리,31385,25.8
2000 돗토리,31386,84.45
2000 돗토리,31387,45.02
2000 돗토리,31388,60.32
2000 돗토리,31401,340.87
2000 돗토리,31402,134.02
2000 돗토리,31403,124.66
2000 돗토리,31404,100.36
2000 돗토리,32201,221.38
2000 돗토리,32208,142.05
2000 돗토리,32206,120.78
2000 돗토리,32301,29.04
2000 돗토리,32303,55.41
2000 돗토리,32304,42.64
2000 돗토리,32305,56.0
2000 돗토리,32308,34.13
2000 돗토리,32321,204.32
2000 돗토리,32322,95.87
2000 돗토리,32382,113.98
2000 돗토리,32341,178.64
2000 돗토리,32342,189.42
2000 돗토리,32404,22.26
2004 니가타현주에쓰,15201,231.94
2004 니가타현주에쓰,15202,262.45
2004 니가타현주에쓰,15204,75.79
2004 니가타현주에쓰,15205,319.29
2004 니가타현주에쓰,15206,469.54
2004 니가타현주에쓰,15207,78.28
2004 니가타현주에쓰,15208,155.12
2004 니가타현주에쓰,15209,133.68
2004 니가타현주에쓰,15210,212.77
2004 니가타현주에쓰,15211,77.96
2004 니가타현주에쓰,15213,39.27
2004 니가타현주에쓰,15215,204.92
2004 니가타현주에쓰,15217,176.13
2004 니가타현주에쓰,15222,249.2
2004 니가타현주에쓰,15224,855.1
2004 니가타현주에쓰,15321,16.91
2004 니가타현주에쓰,15323,23.62
2004 니가타현주에쓰,15324,16.82
2004 니가타현주에쓰,15343,39.61
2004 니가타현주에쓰,15344,32.0
2004 니가타현주에쓰,15345,76.14
2004 니가타현주에쓰,15362,311.0
2004 니가타현주에쓰,15363,45.22
2004 니가타현주에쓰,15364,42.55
2004 니가타현주에쓰,15381,84.19
2004 니가타현주에쓰,15401,58.44
2004 니가타현주에쓰,15402,36.47
2004 니가타현주에쓰,15403,20.05
2004 니가타현주에쓰,15404,31.86
2004 니가타현주에쓰,15405,44.38
2004 니가타현주에쓰,15406,58.16
2004 니가타현주에쓰,15421,39.83
2004 니가타현주에쓰,15441,50.03
2004 니가타현주에쓰,15442,69.0
2004 니가타현주에쓰,15443,30.04
2004 니가타현주에쓰,15444,350.08
2004 니가타현주에쓰,15445,105.64
2004 니가타현주에쓰,15446,120.03
2004 니가타현주에쓰,15447,272.14
2004 니가타현주에쓰,15461,357.0
2004 니가타현주에쓰,15462,190.12
2004 니가타현주에쓰,15463,263.79
2004 니가타현주에쓰,15464,130.91
2004 니가타현주에쓰,15481,73.55
2004 니가타현주에쓰,15482,170.28
2004 니가타현주에쓰,15483,128.97
2004 니가타현주에쓰,15501,64.63
2004 니가타현주에쓰,15502,86.15
2004 니가타현주에쓰,15504,26.28
2004 니가타현주에쓰,15505,56.63
2004 니가타현주에쓰,15521,70.23
2004 니가타현주에쓰,15522,50.64
2004 니가타현주에쓰,15523,90.47
2004 니가타현주에쓰,15524,86.31
2004 니가타현주에쓰,15525,71.64
2004 니가타현주에쓰,15526,61.35
2004 니가타현주에쓰,15541,85.39
2004 니가타현주에쓰,15545,128.57
2004 니가타현주에쓰,15549,37.54
2004 니가타현주에쓰,15550,39.36
2007 니가타현주에쓰오키,15100,726.1
2007 니가타현주에쓰오키,15202,840.88
2007 니가타현주에쓰오키,15204,432.01
2007 니가타현주에쓰오키,15205,442.7
2007 니가타현주에쓰오키,15208,155.12
2007 니가타현주에쓰오키,15209,133.68
2007 니가타현주에쓰오키,15210,589.92
2007 니가타현주에쓰오키,15211,77.96
2007 니가타현주에쓰오키,15213,110.88
2007 니가타현주에쓰오키,15216,746.24
2007 니가타현주에쓰오키,15217,445.52
2007 니가타현주에쓰오키,15222,973.32
2007 니가타현주에쓰오키,15223,192.72
2007 니가타현주에쓰오키,15224,855.26
2007 니가타현주에쓰오키,15225,946.93
2007 니가타현주에쓰오키,15226,584.82
2007 니가타현주에쓰오키,15405,44.38
2007 니가타현주에쓰오키,15441,50.03
2007 니가타현주에쓰오키,15461,357.0
2007 니가타현주에쓰오키,15504,26.28
2007 니가타현주에쓰오키,20201,730.83
2007 니가타현주에쓰오키,20203,552.0
2007 니가타현주에쓰오키,20211,112.06
2007 니가타현주에쓰오키,20213,202.32
2007 니가타현주에쓰오키,20219,112.3
2007 니가타현주에쓰오키,20541,19.07
2007 니가타현주에쓰오키,20590,75.31
2007 니가타현주에쓰오키,16202,209.38
2008 이와테미야기,3215,993.35
2008 이와테미야기,3209,1133.1
2008 이와테미야기,3381,179.77
2008 이와테미야기,3402,63.39
2008 이와테미야기,3366,590.78
2008 이와테미야기,3205,908.32
2008 이와테미야기,3206,437.55
2008 이와테미야기,3422,123.15
2008 이와테미야기,4213,804.93
2008 이와테미야기,4215,796.76
2008 이와테미야기,4505,75.06
2008 이와테미야기,4100,783.54
2008 이와테미야기,4212,536.38
2008 이와테미야기,4202,555.78
2008 이와테미야기,4207,100.06
2008 이와테미야기,4445,460.82
2008 이와테미야기,4203,17.86
2008 이와테미야기,4205,226.67
2008 이와테미야기,4208,147.58
2008 이와테미야기,4214,101.86
2008 이와테미야기,4406,44.75
2008 이와테미야기,4444,109.23
2008 이와테미야기,4501,82.08
2008 이와테미야기,5207,790.72
2008 이와테미야기,5203,693.04
2008 이와테미야기,5201,905.67
2008 이와테미야기,5463,230.75
2008 이와테미야기,6205,223.08
2008 이와테미야기,6201,381.34
2008 이와테미야기,7201,767.74
2008 이와테미야기,7204,1231.34
2016 구마모토,43100,390.32
2016 구마모토,43211,74.3
2016 구마모토,43213,188.61
2016 구마모토,43348,144.0
2016 구마모토,43204,57.37
2016 구마모토,43206,152.6
2016 구마모토,43364,24.33
2016 구마모토,43369,98.78
2016 구마모토,43367,68.92
2016 구마모토,43368,19.43
2016 구마모토,43208,299.69
2016 구마모토,43210,276.85
2016 구마모토,43216,53.19
2016 구마모토,43403,99.1
2016 구마모토,43404,37.46
2016 구마모토,43214,376.3
2016 구마모토,43423,115.9
2016 구마모토,43424,136.94
2016 구마모토,43425,60.81
2016 구마모토,43428,175.06
2016 구마모토,43433,137.32
2016 구마모토,43432,77.22
2016 구마모토,43441,99.03
2016 구마모토,43442,16.65
2016 구마모토,43443,65.68
2016 구마모토,43444,57.93
2016 구마모토,43447,544.67
2016 구마모토,43202,681.36
2016 구마모토,43468,33.36
2016 구마모토,43205,163.29
2016 구마모토,43482,233.98
2016 구마모토,43484,34.09
2016 구마모토,43203,210.55
2016 구마모토,43501,85.04
2016 구마모토,43514,159.56
2016 구마모토,43505,165.86
2016 구마모토,43510,94.54
2016 구마모토,43512,121.19
2016 구마모토,43215,683.86
2016 구마모토,43212,126.91
2018 오사카,27207,105.29
2018 오사카,27211,76.49
2018 오사카,27210,65.12
2018 오사카,27205,36.09
2018 오사카,27203,36.39
2018 오사카,27224,14.87
2018 오사카,27215,24.7
2018 오사카,27100,225.3
2018 오사카,27230,25.55
2018 오사카,27209,12.71
2018 오사카,27220,47.9
2018 오사카,27204,22.14
2018 오사카,27229,18.69
2018 오사카,27301,16.81
2018 오사카,27223,12.3
2018 오사카,27321,34.34
2018 오사카,27218,18.27
2018 오사카,27227,61.78
2018 오사카,27322,98.75
2018 오사카,27213,56.51
2018 오사카,27214,39.72
2018 오사카,27216,109.63
2018 오사카,27212,41.72
2018 오사카,27219,84.98
