epoch,nll_total,nll_per_row,penalty,loss_base,bce_sum,loss_total
0,32251.102162564686,77.15574680039398,1.2000000000000004,32252.302162564687,285.8874926993588,33824.683372411164
1,30685.20084710505,73.40957140455754,1.2465362179243489,30686.447383322975,282.57120927901013,32240.58903435753
2,29314.913889946954,70.13137294245684,1.2946966521850074,29316.20858659914,279.27195766041564,30852.204353731424
3,28127.05347238176,67.2896016085688,1.3444305958830574,28128.397902977642,275.99096101062844,29646.3481885361
4,27106.681307195264,64.84851987367288,1.3956716719053923,27108.076978867168,272.729435878942,28608.08887620135
5,26237.44311399049,62.769002665049015,1.4483398399198253,26238.89145383041,269.48855894549837,27721.07852803065
6,25502.364753135793,61.01044199314783,1.5023439911213035,25503.867097126913,266.26945262106904,26968.349086542792
7,24884.4116331801,59.53208524684235,1.557584515498594,24885.9692176956,263.0731943556594,26332.87178665173
8,24366.762089613847,58.293689209602505,1.6139559655488407,24368.376045579396,259.9008328379216,25797.830626187966
9,23933.237666634242,57.256549441708714,1.671350469930667,23934.90901710417,256.7533970476152,25347.052700866054
10,23568.842664951953,56.38479106447836,1.7296632007985544,23570.572328152753,253.63189662105046,24965.54775956853
11,23260.08650769782,55.646139970568946,1.7887987823374565,23261.875306480157,250.53731386982292,24639.830532764183
12,22995.091959018828,55.01218172014074,1.8486750178326938,22996.940634036662,247.4705900067329,24358.028879073692
13,22763.642754530596,54.458475489307645,1.9092244763754835,22765.55197900697,244.43261265549563,24109.931348612197
14,22557.170233239867,53.96452208909059,1.9703955929697925,22559.140628832836,241.42420964483745,23886.973781879442
15,22368.67426203916,53.513574789567365,2.0321536365183213,22370.70641567568,238.44614904724787,23682.160235435542
16,22192.597600055982,53.09233875611479,2.094481552760183,22194.692081608744,235.49914287814278,23489.937367438528
17,22024.67030984888,52.690598827389664,2.1573807091794426,22026.82769055806,232.5838518773481,23306.038875883474
18,21861.737162716567,52.30080660936978,2.2208715495502402,21863.958034266117,229.7008898884522,23127.312928652605
19,21701.580198449345,51.91765597715154,2.2849941269171836,21703.86519257626,226.85082744792652,22951.544743539856
20,21542.74699516782,51.53767223724359,2.3498084716205585,21545.09680363944,224.03419477007697,22777.284874874866
21,21384.39192521981,51.158832356985194,2.415394765237519,21386.807319985048,221.25148438126317,22603.690484081995
22,21226.13415733908,50.78022525679205,2.4818533118957973,21228.616010650974,218.503153493803,22430.38335486689
23,21067.933676246877,50.40175520633224,2.549304308212638,21070.48298055509,215.7896260543212,22257.325923853856
24,20909.985301053228,50.02388828003165,2.6178874025726717,20912.6031884558,213.1112943508622,22084.71530738554
25,20752.62999558047,49.64744018081453,2.687761007236347,20755.31775658771,210.46852010796977,21912.89461718154
26,20596.28206551716,49.27340207061521,2.7591013141299614,20599.041166831288,207.8616350733816,21742.280159734888
27,20441.370315505876,48.90279979786094,2.8321010134375424,20444.202416519314,205.29094114958406,21573.302592842025
28,20288.291727334617,48.53658307974789,2.906967816175181,20291.198695150793,202.7567101836356,21406.360601160788
29,20137.377654321037,48.17554462756229,2.983922941810598,20140.361577262847,200.25918371321006,21241.7870876855
30,19988.87343627639,47.82027137865165,3.0631996663386274,19991.93663594273,197.798573321085,21079.828789208696
31,19842.93160570746,47.471128243319285,3.1450418712729507,19846.076647578735,195.37506258924918,20920.639491819606
32,19699.616775901606,47.12826979880767,3.2297024075450462,19702.84647830915,192.98881149738077,20764.284941544745
33,19558.918130334845,46.79167016826518,3.317441105432,19562.235571440277,190.63996303248913,20610.755368118967
34,19420.764926523872,46.46116011130113,3.408522451917878,19424.17344897579,188.32865020301296,20459.981025092362
35,19285.04222974114,46.13646466445248,3.503213175707188,19288.545442916846,186.0550010620114,20311.84794875791
36,19151.60627558549,45.817239893745196,3.601780024241651,19155.20805560973,183.81914046626778,20166.213328174206
37,19020.299395163704,45.50310860087011,3.7044878837547834,19024.00388304746,181.6211889378239,20022.92042220549
38,18890.963815977317,45.19369333965865,3.8115982481254296,18894.77541422544,179.46125976792683,19881.81234294904
39,18763.45329881811,44.888644255545714,3.9233679803022863,18767.376666798413,177.33945536562032,19742.743671309323
40,18637.641823268958,44.5876598642798,4.040048306775609,18641.681871575733,175.255863439285,19605.5891204918
41,18513.428959094454,44.29049990213984,4.161883997582726,18517.590843092035,173.2105532938732,19470.248886208337
42,18390.741844467797,43.9969900585354,4.289112703899515,18395.030957171697,171.2035723739416,19336.650605228377
43,18269.53388784631,43.70701887044572,4.421964462869758,18273.95585230918,169.2349431169897,19204.748039452625
44,18149.78061975531,43.420527798457684,4.560661428248572,18154.34128118356,167.30466015120479,19074.516912015184
45,18031.473559166596,43.13749655303013,4.705417913723725,18036.17897708032,165.41268785433016,18945.948760279134
46,17914.613275046184,42.8579264953258,4.856440817866327,17919.469715864052,163.55895827935962,18819.04398640053
