module,group,param,idx,label,transform,raw_value,value
reg,alpha_c,alpha_channel,0,사망,none,-19.78651393420848,-19.78651393420848
reg,alpha_c,alpha_channel,1,중상,none,-15.947185905959493,-15.947185905959493
reg,alpha_c,alpha_channel,2,경상,none,-13.041464280223458,-13.041464280223458
reg,alpha_c,alpha_channel,3,전파,none,-12.79363404397041,-12.79363404397041
reg,alpha_c,alpha_channel,4,반파,none,-12.56208628032149,-12.56208628032149
reg,alpha_c,alpha_channel,5,일부파손,none,-9.42837273920951,-9.42837273920951
reg,alpha_e,alpha_event_free,0,2004 니가타현주에쓰,fixed(reference),0.0,0.0
reg,alpha_e,alpha_event_free,1,2007 니가타현주에쓰오키,none,-0.734229381175983,-0.734229381175983
reg,alpha_e,alpha_event_free,2,2008 이와테미야기,none,-2.5380479299109187,-2.5380479299109187
reg,alpha_e,alpha_event_free,3,2016 구마모토,none,-1.503927313926456,-1.503927313926456
reg,alpha_e,alpha_event_free,4,2018 오사카,none,-2.8261971175445533,-2.8261971175445533
reg,alpha_e,alpha_event_free,5,2018 훗카이도,none,-0.8033335602629406,-0.8033335602629406
reg,alpha_e,alpha_event_free,6,2021 후쿠시마,none,-2.3671547236931216,-2.3671547236931216
reg,alpha_e,alpha_event_free,7,2024 노토반도,none,-1.3976118682469125,-1.3976118682469125
reg,alpha_e,alpha_event_free,8,2000 돗토리,none,-2.7111915577110786,-2.7111915577110786
reg,beta_c,beta_pgv,0,사망,none,3.206307972424148,3.206307972424148
reg,beta_c,beta_pgv,1,중상,none,2.4217780431977114,2.4217780431977114
reg,beta_c,beta_pgv,2,경상,none,1.9814553920013325,1.9814553920013325
reg,beta_c,beta_pgv,3,전파,none,2.3289016382829306,2.3289016382829306
reg,beta_c,beta_pgv,4,반파,none,2.7535030485865244,2.7535030485865244
reg,beta_c,beta_pgv,5,일부파손,none,2.6708977627116375,2.6708977627116375
reg,delta_c,delta_wood,0,사망,none,0.15191918181576453,0.15191918181576453
reg,delta_c,delta_wood,1,중상,none,0.2190824484877357,0.2190824484877357
reg,delta_c,delta_wood,2,경상,none,-0.03245278758676022,-0.03245278758676022
reg,delta_c,delta_wood,3,전파,none,0.8270944268296307,0.8270944268296307
reg,delta_c,delta_wood,4,반파,none,0.5108917168667285,0.5108917168667285
reg,delta_c,delta_wood,5,일부파손,none,0.17217146083609827,0.17217146083609827
reg,gamma_LS,_gamma_ls_unconstrained,0,사망,softplus,-0.3456599171158001,0.5351785538390951
reg,gamma_LS,_gamma_ls_unconstrained,1,중상,softplus,0.03376668327550051,0.7101730390396453
reg,gamma_LS,_gamma_ls_unconstrained,2,경상,softplus,0.14003598849183574,0.7656144342880714
reg,gamma_LS,_gamma_ls_unconstrained,3,전파,softplus,-0.8674467726119394,0.3506727831391871
reg,gamma_LS,_gamma_ls_unconstrained,4,반파,softplus,-0.2582890964829319,0.5723187115519517
reg,gamma_LS,_gamma_ls_unconstrained,5,일부파손,softplus,-0.2875486883001936,0.5596729547503616
reg,gamma_LQ,_gamma_lq_unconstrained,0,사망,softplus,-3.958543419728308,0.018910956817393798
reg,gamma_LQ,_gamma_lq_unconstrained,1,중상,softplus,-4.214758259672179,0.014667793301848728
reg,gamma_LQ,_gamma_lq_unconstrained,2,경상,softplus,-2.3219791597428983,0.09356254341839744
reg,gamma_LQ,_gamma_lq_unconstrained,3,전파,softplus,-2.7684701388942417,0.060867361550741635
reg,gamma_LQ,_gamma_lq_unconstrained,4,반파,softplus,-2.117130055831929,0.11366488537645161
reg,gamma_LQ,_gamma_lq_unconstrained,5,일부파손,softplus,-1.5446741210772,0.19341100460822092
lik,phi_c,_phi_unconstrained,0,사망,softplus,-0.6297343737562342,0.4270526057302463
lik,phi_c,_phi_unconstrained,1,중상,softplus,-0.3438558185343601,0.5359266309014924
lik,phi_c,_phi_unconstrained,2,경상,softplus,-0.4268757119436515,0.5023163124660064
lik,phi_c,_phi_unconstrained,3,전파,softplus,-1.8050071648623884,0.15226886301544887
lik,phi_c,_phi_unconstrained,4,반파,softplus,-1.4552482945694,0.20972789775409004
lik,phi_c,_phi_unconstrained,5,일부파손,softplus,-0.5755427975302876,0.4462227913595478
pri,a,a,0,LS,fixed(mode=area),1.0,1.0
pri,a,a,1,LQ,fixed(mode=area),1.0,1.0
pri,b,_b_raw,0,LS,"bounded[-2.0,4.0]",-1.4465015348464585,-0.856756596762015
pri,b,b,1,LQ,fixed(mode=area),0.0,0.0
pri,c,c,0,LS,fixed(mode=area),1.0,1.0
pri,c,c,1,LQ,fixed(mode=area),1.0,1.0
pri,kappa,kappa,0,LS,none,-0.3757805461797159,-0.3757805461797159
