module,group,param,idx,label,transform,raw_value,value
reg,alpha_c,alpha_channel,0,사망,none,-19.775447131413696,-19.775447131413696
reg,alpha_c,alpha_channel,1,중상,none,-15.91034768153191,-15.91034768153191
reg,alpha_c,alpha_channel,2,경상,none,-13.003024478307271,-13.003024478307271
reg,alpha_c,alpha_channel,3,전파,none,-12.828358606964185,-12.828358606964185
reg,alpha_c,alpha_channel,4,반파,none,-12.591825639953093,-12.591825639953093
reg,alpha_c,alpha_channel,5,일부파손,none,-9.407150335597299,-9.407150335597299
reg,alpha_e,alpha_event_free,0,2004 니가타현주에쓰,fixed(reference),0.0,0.0
reg,alpha_e,alpha_event_free,1,2007 니가타현주에쓰오키,none,-0.7421503034912287,-0.7421503034912287
reg,alpha_e,alpha_event_free,2,2008 이와테미야기,none,-2.5569240310901553,-2.5569240310901553
reg,alpha_e,alpha_event_free,3,2016 구마모토,none,-1.5029263816540028,-1.5029263816540028
reg,alpha_e,alpha_event_free,4,2018 오사카,none,-2.8204306287341057,-2.8204306287341057
reg,alpha_e,alpha_event_free,5,2018 훗카이도,none,-0.8109507324190761,-0.8109507324190761
reg,alpha_e,alpha_event_free,6,2021 후쿠시마,none,-2.367974090486051,-2.367974090486051
reg,alpha_e,alpha_event_free,7,2024 노토반도,none,-1.4026630971635696,-1.4026630971635696
reg,alpha_e,alpha_event_free,8,2000 돗토리,none,-2.7104120829027876,-2.7104120829027876
reg,beta_c,beta_pgv,0,사망,none,3.198467547767312,3.198467547767312
reg,beta_c,beta_pgv,1,중상,none,2.4072941528813248,2.4072941528813248
reg,beta_c,beta_pgv,2,경상,none,1.9656212018980765,1.9656212018980765
reg,beta_c,beta_pgv,3,전파,none,2.3269217150572317,2.3269217150572317
reg,beta_c,beta_pgv,4,반파,none,2.7501008020107283,2.7501008020107283
reg,beta_c,beta_pgv,5,일부파손,none,2.6647782722555773,2.6647782722555773
reg,delta_c,delta_wood,0,사망,none,0.15453849189921126,0.15453849189921126
reg,delta_c,delta_wood,1,중상,none,0.22367443277693955,0.22367443277693955
reg,delta_c,delta_wood,2,경상,none,-0.030018687590918292,-0.030018687590918292
reg,delta_c,delta_wood,3,전파,none,0.8273204707303173,0.8273204707303173
reg,delta_c,delta_wood,4,반파,none,0.5123556948950079,0.5123556948950079
reg,delta_c,delta_wood,5,일부파손,none,0.17467926352613738,0.17467926352613738
reg,gamma_LS,_gamma_ls_unconstrained,0,사망,softplus,-0.26396667043244987,0.5698484757024552
reg,gamma_LS,_gamma_ls_unconstrained,1,중상,softplus,0.10174163391149985,0.7453113598330592
reg,gamma_LS,_gamma_ls_unconstrained,2,경상,softplus,0.22016366233404694,0.8092758187230522
reg,gamma_LS,_gamma_ls_unconstrained,3,전파,softplus,-0.6817634221736942,0.4092741112813764
reg,gamma_LS,_gamma_ls_unconstrained,4,반파,softplus,-0.1118932170078549,0.6387647678180274
reg,gamma_LS,_gamma_ls_unconstrained,5,일부파손,softplus,-0.23229558789397908,0.583729430261817
reg,gamma_LQ,_gamma_lq_unconstrained,0,사망,softplus,-3.966761141148634,0.018757631106417146
reg,gamma_LQ,_gamma_lq_unconstrained,1,중상,softplus,-4.232091151223458,0.014417556830579843
reg,gamma_LQ,_gamma_lq_unconstrained,2,경상,softplus,-2.369438006024364,0.08941399199144043
reg,gamma_LQ,_gamma_lq_unconstrained,3,전파,softplus,-2.7758404554409934,0.06043363581255352
reg,gamma_LQ,_gamma_lq_unconstrained,4,반파,softplus,-2.1307854976146,0.11220661324601845
reg,gamma_LQ,_gamma_lq_unconstrained,5,일부파손,softplus,-1.5641026890762137,0.1900215971895866
lik,phi_c,_phi_unconstrained,0,사망,softplus,-0.6072244289727197,0.4349339858365763
lik,phi_c,_phi_unconstrained,1,중상,softplus,-0.31706686335675643,0.5471278851372048
lik,phi_c,_phi_unconstrained,2,경상,softplus,-0.4064634173263406,0.5104264196653118
lik,phi_c,_phi_unconstrained,3,전파,softplus,-1.7868034768249919,0.15486018430465334
lik,phi_c,_phi_unconstrained,4,반파,softplus,-1.4361467689581042,0.21336991028198724
lik,phi_c,_phi_unconstrained,5,일부파손,softplus,-0.5676506190570147,0.4490708310797203
pri,a,a,0,LS,fixed(mode=area),1.0,1.0
pri,a,a,1,LQ,fixed(mode=area),1.0,1.0
pri,b,_b_raw,0,LS,"bounded[-2.0,4.0]",-1.7361814926494894,-1.1012083658421976
pri,b,b,1,LQ,fixed(mode=area),0.0,0.0
pri,c,c,0,LS,fixed(mode=area),1.0,1.0
pri,c,c,1,LQ,fixed(mode=area),1.0,1.0
pri,kappa,kappa,0,LS,none,-0.3870644163220997,-0.3870644163220997
