epoch,nll_total,nll_per_row,penalty,loss_base,bce_sum,loss_total
0,32262.525768018753,77.18307600004486,1.2000000000000004,32263.725768018754,31.81373818579818,32402.115529126975
1,30731.732127981304,73.52089025832848,1.2465362179232857,30732.97866419923,31.43884953893023,30869.737659693576
2,29395.24192211605,70.32354526822022,1.2946620127863404,29396.536584128837,31.23301497040525,29532.4001992501
3,28239.67428406791,67.55902938772228,1.3442920194574681,28241.01857608737,31.207181484253503,28376.76981554387
4,27249.65477044827,65.19056165179012,1.395315581293815,27251.05008602956,31.372060199190564,27387.51854789604
5,26408.41758562134,63.17803250148646,1.4475980992309756,26409.865183720573,31.737509807802482,26547.923351384514
6,25698.740998082823,61.480241622207714,1.5009832037551718,25700.241981286577,32.31168593534032,25840.797815105307
7,25103.282340184458,60.05569937843172,1.5552961744083138,25104.837636358865,33.09993153373908,25248.82233853063
8,24604.88808132048,58.863368615599235,1.6103491431059755,24606.498430463587,34.103380671550184,24754.84813638483
9,24187.148262518254,57.86399105865611,1.6659476529665214,24188.814210171222,35.31728247138721,24342.444388921755
10,23834.945023374108,57.02139957745002,1.7218976289646308,23836.666921003074,36.729118157419904,23996.43858498785
11,23534.816103867175,56.30338780829468,1.77801202356396,23536.59411589074,38.31668971296407,23703.271716142135
12,23275.12294619055,55.68211231146064,1.8341168136442394,23276.957063004193,40.04651092139026,23451.15938551224
13,23046.074218555696,55.13414884821937,1.8900562805878791,23047.964274836282,41.87300047471615,23230.1118269013
14,22839.650833437423,54.640312998654124,1.945697599933443,22841.596531037358,43.73907719510636,23031.86151683607
15,22649.465019511117,54.185323013184494,2.0009347726820654,22651.465954283798,45.57866847154522,22849.73316213502
16,22470.577444881877,53.75736230832985,2.055691882335645,22472.633136764212,47.321270919827015,22678.48066526546
17,22299.293413604573,53.34759189857554,2.1099256100315293,22301.403339214605,48.89808176563574,22514.10999489512
18,22132.95731164837,52.949658640307106,2.163626943588538,22135.120938591957,50.24858634078896,22353.70228917439
19,21969.759522258995,52.5592333068397,2.21682207133305,21971.976344330327,51.32619380681868,22195.24528738999
20,21808.563058306732,52.173595833269694,2.2695724995707596,21810.832630806304,52.101774754046716,22037.475350986406
21,21648.75154233159,51.79127163237222,2.3219744409938574,21651.073516772583,52.564646358944074,21879.72972843399
22,21490.0972907566,51.41171600659474,2.3741575060777986,21492.471448262677,52.721294304768556,21721.80907848842
23,21332.647431949903,51.03504170322943,2.4262827188122618,21335.073714668717,52.592577060334435,21563.851424881173
24,21176.626135547613,50.6617850132718,2.4785398887617163,21179.104675436374,52.21023496908977,21406.219197551916
25,21022.351616340027,50.29270721612447,2.5311444063729303,21024.8827607464,51.613345697123194,21249.400814528886
26,20870.167405573826,49.92863015687518,2.5843335760295565,20872.751739149855,50.845108068643796,21093.927959248456
27,20720.38810992643,49.57030648307758,2.638362639799462,20723.026472566227,49.95011856206041,20940.30948831119
28,20573.26006919107,49.21832552438055,2.693500658068262,20575.953569849138,48.97216824110798,20788.98250169796
29,20428.936890474106,48.87305476189977,2.750026402392992,20431.6869168765,47.95252316481834,20640.28039264346
30,20287.4690685894,48.53461499662536,2.8082243920847763,20290.277292981482,46.92863400083087,20494.416850885096
31,20148.806110826,48.20288543259809,2.868381177828871,20151.67449200383,45.93322771340892,20351.484032557157
32,20012.80891784221,47.87753329627323,2.930781946286368,20015.739699788493,44.99374821721982,20211.4625045334
33,19879.26968882463,47.55806145651825,2.9957074909364634,19882.265396315564,44.13212198556509,20074.240126952773
34,19747.93636589134,47.243866904046264,3.063431569253151,19750.99979746059,43.36482291679104,19939.636777148633
35,19618.53863658401,46.93430295833495,3.1342186473964895,19621.672855231405,42.703198096419584,19807.43176695083
36,19490.812753812424,46.62873864548427,3.208322021843549,19494.02107583427,42.15399681587555,19677.39096198333
37,19364.52286427377,46.326609723142994,3.285982301932535,19367.808846575703,41.720026435094795,19549.290961568364
38,19239.477124276622,46.027457235111534,3.3674262369433814,19242.844550513564,41.400847964399105,19422.9382391587
39,19115.537595789126,45.73095118609839,3.452865875352157,19118.990461664478,41.19342705855584,19298.181869369197
40,18992.623694636597,45.43689879099664,3.5424980514565982,18996.166192688055,41.092673736671046,19174.919323442573
41,18870.709705973662,45.14523853103747,3.636504203947678,18874.34621017761,41.091833108442366,19053.095684199332
42,18749.817479291396,44.856022677730614,3.735050539574428,18753.55252983097,41.182723037546324,18932.697375044296
43,18630.005788820476,44.56939183928343,3.8382885601030314,18633.844077380578,41.355845815118485,18813.742006676344
44,18511.357971762183,44.28554538699087,3.9463559703741353,18515.304327732556,41.60042407549601,18696.266172460964
45,18393.96936211074,44.00471139260942,4.059377978712356,18398.028740089452,41.9044234664283,18580.312982168416
46,18277.93577882189,43.727119088090646,4.177468988767342,18282.11324781066,42.25462531560926,18465.92086793356
47,18163.3439722716,43.45297601021914,4.300734665567774,18167.644706937168,42.63680249252401,18353.114797779646
48,18050.264547719034,43.18245107109817,4.4292743402629045,18054.693822059297,43.03603256669443,18241.90056372442
49,17938.747522278703,42.91566392889642,4.563183700053212,17943.310705978758,43.437156821598634,18132.262338152712
50,17828.82037007905,42.652680311193905,4.7025576943666465,17833.522927773418,43.82536536131182,18024.163267095126
51,17720.48818984242,42.39351241589096,4.847493577138263,17725.33568341956,44.18686207505486,17917.548533446046
52,17613.735496782192,42.13812319804352,4.998093999119394,17618.73359078131,44.509543552085646,17812.350105232883
53,17508.52909207598,41.88643323463153,5.154470063717565,17513.683562139697,44.783617256210256,17708.49229720421
54,17404.82148605601,41.6383289140096,5.316744264477515,17410.13823032049,45.002088335749974,17605.897314581
55,17302.554428548206,41.39367088169428,5.485053230955554,17308.03948177916,45.16106043526635,17504.49009467257
56,17201.662211770854,41.152301942035535,5.659550221126814,17207.32176199198,45.25982017096417,17404.201979735677
57,17102.074537626653,40.91405391776711,5.840407311265059,17107.91494493792,45.300702332443365,17304.973000084046
