module,group,param,idx,label,transform,raw_value,value
reg,alpha_c,alpha_channel,0,사망,none,-19.88733691292141,-19.88733691292141
reg,alpha_c,alpha_channel,1,중상,none,-15.965776958244755,-15.965776958244755
reg,alpha_c,alpha_channel,2,경상,none,-12.960367944738815,-12.960367944738815
reg,alpha_c,alpha_channel,3,전파,none,-12.996937771293618,-12.996937771293618
reg,alpha_c,alpha_channel,4,반파,none,-12.722877122203402,-12.722877122203402
reg,alpha_c,alpha_channel,5,일부파손,none,-9.501779812618981,-9.501779812618981
reg,alpha_e,alpha_event_free,0,2004 니가타현주에쓰,fixed(reference),0.0,0.0
reg,alpha_e,alpha_event_free,1,2007 니가타현주에쓰오키,none,-0.8320976258627336,-0.8320976258627336
reg,alpha_e,alpha_event_free,2,2008 이와테미야기,none,-2.6513302998952795,-2.6513302998952795
reg,alpha_e,alpha_event_free,3,2016 구마모토,none,-1.495072579974875,-1.495072579974875
reg,alpha_e,alpha_event_free,4,2018 오사카,none,-2.7584694972991084,-2.7584694972991084
reg,alpha_e,alpha_event_free,5,2018 훗카이도,none,-0.9107578055226799,-0.9107578055226799
reg,alpha_e,alpha_event_free,6,2021 후쿠시마,none,-2.391854446843501,-2.391854446843501
reg,alpha_e,alpha_event_free,7,2024 노토반도,none,-1.5534955005861413,-1.5534955005861413
reg,alpha_e,alpha_event_free,8,2000 돗토리,none,-2.69355134336154,-2.69355134336154
reg,beta_c,beta_pgv,0,사망,none,3.217986848698039,3.217986848698039
reg,beta_c,beta_pgv,1,중상,none,2.414069736618319,2.414069736618319
reg,beta_c,beta_pgv,2,경상,none,1.9301723029939262,1.9301723029939262
reg,beta_c,beta_pgv,3,전파,none,2.4034914723356606,2.4034914723356606
reg,beta_c,beta_pgv,4,반파,none,2.826830013611881,2.826830013611881
reg,beta_c,beta_pgv,5,일부파손,none,2.72225670336088,2.72225670336088
reg,delta_c,delta_wood,0,사망,none,0.21000064693442258,0.21000064693442258
reg,delta_c,delta_wood,1,중상,none,0.2791324522432691,0.2791324522432691
reg,delta_c,delta_wood,2,경상,none,0.02706034355542933,0.02706034355542933
reg,delta_c,delta_wood,3,전파,none,0.8561162858080137,0.8561162858080137
reg,delta_c,delta_wood,4,반파,none,0.5487328728959988,0.5487328728959988
reg,delta_c,delta_wood,5,일부파손,none,0.2162012807494621,0.2162012807494621
reg,gamma_LS,_gamma_ls_unconstrained,0,사망,softplus,-0.5737328533473849,0.4468746741954109
reg,gamma_LS,_gamma_ls_unconstrained,1,중상,softplus,-0.2233309403597381,0.5877033852169966
reg,gamma_LS,_gamma_ls_unconstrained,2,경상,softplus,-0.2485101055936458,0.5765920038604058
reg,gamma_LS,_gamma_ls_unconstrained,3,전파,softplus,-1.4203748706318862,0.21641973495352776
reg,gamma_LS,_gamma_ls_unconstrained,4,반파,softplus,-0.884046938628456,0.3457913235252253
reg,gamma_LS,_gamma_ls_unconstrained,5,일부파손,softplus,-0.903407253237423,0.34017019878229854
reg,gamma_LQ,_gamma_lq_unconstrained,0,사망,softplus,-0.6234549487183971,0.4292396239867103
reg,gamma_LQ,_gamma_lq_unconstrained,1,중상,softplus,-0.645796934714883,0.42149893446395725
reg,gamma_LQ,_gamma_lq_unconstrained,2,경상,softplus,0.09431762271493135,0.741417556741913
reg,gamma_LQ,_gamma_lq_unconstrained,3,전파,softplus,-0.8832493431237404,0.3460245582910799
reg,gamma_LQ,_gamma_lq_unconstrained,4,반파,softplus,-0.27463432750688854,0.5652285376002191
reg,gamma_LQ,_gamma_lq_unconstrained,5,일부파손,softplus,0.04689793663760269,0.7168710507450861
lik,phi_c,_phi_unconstrained,0,사망,softplus,-0.5744694743760077,0.44660927623618907
lik,phi_c,_phi_unconstrained,1,중상,softplus,-0.2989179634091764,0.5548158563507988
lik,phi_c,_phi_unconstrained,2,경상,softplus,-0.3329156389036545,0.5404799540032688
lik,phi_c,_phi_unconstrained,3,전파,softplus,-1.7531009191493798,0.15976567401597033
lik,phi_c,_phi_unconstrained,4,반파,softplus,-1.409867072958186,0.2184732532742768
lik,phi_c,_phi_unconstrained,5,일부파손,softplus,-0.5193730386385005,0.46680690406881975
pri,a,a,0,LS,fixed(mode=area),1.0,1.0
pri,a,a,1,LQ,fixed(mode=area),1.0,1.0
pri,b,_b_raw,0,LS,"bounded[-12.0,20.0]",-0.5461873521266234,-0.26401843290367566
pri,b,_b_lq_raw,1,LQ,"bounded[-12.0,20.0]",-1.1176135936132539,-4.113465418052238
pri,c,c,0,LS,fixed(mode=area),1.0,1.0
pri,c,c,1,LQ,fixed(mode=area),1.0,1.0
pri,kappa,kappa,0,LS,none,-0.1608444531724947,-0.1608444531724947
