module,group,param,idx,label,transform,raw_value,value
reg,alpha_c,alpha_channel,0,사망,none,-19.833690124812698,-19.833690124812698
reg,alpha_c,alpha_channel,1,중상,none,-16.039708102819542,-16.039708102819542
reg,alpha_c,alpha_channel,2,경상,none,-13.109302959282308,-13.109302959282308
reg,alpha_c,alpha_channel,3,전파,none,-12.670926173018028,-12.670926173018028
reg,alpha_c,alpha_channel,4,반파,none,-12.404580751137823,-12.404580751137823
reg,alpha_c,alpha_channel,5,일부파손,none,-9.482336555744265,-9.482336555744265
reg,alpha_e,alpha_event_free,0,2004 니가타현주에쓰,fixed(reference),0.0,0.0
reg,alpha_e,alpha_event_free,1,2007 니가타현주에쓰오키,none,-0.7004038897405152,-0.7004038897405152
reg,alpha_e,alpha_event_free,2,2008 이와테미야기,none,-2.449609269577127,-2.449609269577127
reg,alpha_e,alpha_event_free,3,2016 구마모토,none,-1.497526047144204,-1.497526047144204
reg,alpha_e,alpha_event_free,4,2018 오사카,none,-2.8540269444147808,-2.8540269444147808
reg,alpha_e,alpha_event_free,5,2018 훗카이도,none,-0.7785576168318089,-0.7785576168318089
reg,alpha_e,alpha_event_free,6,2021 후쿠시마,none,-2.35371940049995,-2.35371940049995
reg,alpha_e,alpha_event_free,7,2024 노토반도,none,-1.3713654313068653,-1.3713654313068653
reg,alpha_e,alpha_event_free,8,2000 돗토리,none,-2.718643234150932,-2.718643234150932
reg,beta_c,beta_pgv,0,사망,none,3.2292768629619086,3.2292768629619086
reg,beta_c,beta_pgv,1,중상,none,2.4680356595384003,2.4680356595384003
reg,beta_c,beta_pgv,2,경상,none,2.028593639668941,2.028593639668941
reg,beta_c,beta_pgv,3,전파,none,2.3269100522597754,2.3269100522597754
reg,beta_c,beta_pgv,4,반파,none,2.7692256706943748,2.7692256706943748
reg,beta_c,beta_pgv,5,일부파손,none,2.7006705044213493,2.7006705044213493
reg,delta_c,delta_wood,0,사망,none,0.14022567041193876,0.14022567041193876
reg,delta_c,delta_wood,1,중상,none,0.2017159689265963,0.2017159689265963
reg,delta_c,delta_wood,2,경상,none,-0.04339243066476517,-0.04339243066476517
reg,delta_c,delta_wood,3,전파,none,0.8278113617245524,0.8278113617245524
reg,delta_c,delta_wood,4,반파,none,0.5060497034504078,0.5060497034504078
reg,delta_c,delta_wood,5,일부파손,none,0.16239596893128216,0.16239596893128216
reg,gamma_LS,_gamma_ls_unconstrained,0,사망,softplus,-0.5471635395662746,0.4565311749296801
reg,gamma_LS,_gamma_ls_unconstrained,1,중상,softplus,-0.227017423274865,0.5860667964655063
reg,gamma_LS,_gamma_ls_unconstrained,2,경상,softplus,-0.21460523432595066,0.5915904756250413
reg,gamma_LS,_gamma_ls_unconstrained,3,전파,softplus,-1.5447664969646029,0.19339476029658006
reg,gamma_LS,_gamma_ls_unconstrained,4,반파,softplus,-1.0736829842977738,0.2939729030658659
reg,gamma_LS,_gamma_ls_unconstrained,5,일부파손,softplus,-0.5906988372219524,0.4407936640211783
reg,gamma_LQ,_gamma_lq_unconstrained,0,사망,softplus,-3.92530018285758,0.019543977682411364
reg,gamma_LQ,_gamma_lq_unconstrained,1,중상,softplus,-4.15694044888751,0.015534101820944245
reg,gamma_LQ,_gamma_lq_unconstrained,2,경상,softplus,-2.152044452392957,0.1099714979796345
reg,gamma_LQ,_gamma_lq_unconstrained,3,전파,softplus,-2.7490239312778555,0.062026264613500186
reg,gamma_LQ,_gamma_lq_unconstrained,4,반파,softplus,-2.0642655581945166,0.11948067423788652
reg,gamma_LQ,_gamma_lq_unconstrained,5,일부파손,softplus,-1.4500578374665498,0.21071197571795053
lik,phi_c,_phi_unconstrained,0,사망,softplus,-0.6631935103887663,0.41554968548690896
lik,phi_c,_phi_unconstrained,1,중상,softplus,-0.4073339274998881,0.5100785150553432
lik,phi_c,_phi_unconstrained,2,경상,softplus,-0.48741721810622535,0.47884611872724453
lik,phi_c,_phi_unconstrained,3,전파,softplus,-1.8510213429140392,0.14589669945712908
lik,phi_c,_phi_unconstrained,4,반파,softplus,-1.5149522200644663,0.19870223091335848
lik,phi_c,_phi_unconstrained,5,일부파손,softplus,-0.6056271539267987,0.4354976242058441
pri,a,a,0,LS,fixed(mode=area),1.0,1.0
pri,a,a,1,LQ,fixed(mode=area),1.0,1.0
pri,b,_b_raw,0,LS,"bounded[-2.0,4.0]",-0.737703712908603,-0.058961105174895945
pri,b,b,1,LQ,fixed(mode=area),0.0,0.0
pri,c,c,0,LS,fixed(mode=area),1.0,1.0
pri,c,c,1,LQ,fixed(mode=area),1.0,1.0
pri,kappa,kappa,0,LS,none,0.15833677991292602,0.15833677991292602
