비교,점수,부트스트랩 횟수,seed,차이(관측),95% 하한,95% 상한,0보다 클 확률
A2 − A0,사후 p_LS,3000,0,0.0817,0.0031,0.1644,0.9813
A2 − A0,prior q_LS,3000,0,0.0373,-0.0468,0.1232,0.8073
A2 − A1,사후 p_LS,3000,0,0.056,0.0004,0.1246,0.9763
A2 − A1,prior q_LS,3000,0,0.0355,-0.0296,0.1023,0.855
B2 − B0,사후 p_LS,3000,0,-0.0044,-0.0261,0.0,0.0
B2 − B0,prior q_LS,3000,0,-0.0179,-0.0448,0.0,0.0
B2 − B1,사후 p_LS,3000,0,0.1222,0.0514,0.1981,1.0
B2 − B1,prior q_LS,3000,0,0.056,-0.014,0.1334,0.9447
B2 − A2,사후 p_LS,3000,0,0.0468,-0.0287,0.1322,0.886
B2 − A2,prior q_LS,3000,0,-0.0121,-0.0862,0.0634,0.3717
B2-w1 − B0,사후 p_LS,3000,0,-0.0414,-0.0932,-0.0002,0.0117
B2-w1 − B0,prior q_LS,3000,0,-0.0245,-0.0602,0.0078,0.0593
B2-w10 − B0,사후 p_LS,3000,0,-0.0044,-0.0261,0.0,0.0
B2-w10 − B0,prior q_LS,3000,0,-0.0179,-0.0493,0.009,0.0487
B2-log − B0-log,사후 p_LS,3000,0,-0.0044,-0.0261,0.0,0.0
B2-log − B0-log,prior q_LS,3000,0,-0.0179,-0.0448,0.0,0.0
