항목,내용,학습 파라미터 수,실행 명령
브랜치,claude/vigilant-wozniak-atum1b,해당 없음(설명 행),해당 없음(설명 행)
커밋 해시,396d2b3f3e9dd7cd27e8f938c33ca5546c7f2f8f,해당 없음(설명 행),해당 없음(설명 행)
작업 트리 상태,"M prior.py
 D results/loeo/B0-log/eval_detail.csv
 D results/loeo/B0-log/eval_per_event.csv
 D results/loeo/B0-log/eval_scores.csv
 D results/loeo/B0-log/eval_summary.csv
 D results/loeo/B0-log/loss_curve.png
 D results/loeo/B0-log/loss_history.csv
 D results/loeo/B0-log/params.csv
 D results/loeo/B0-log/predictions.csv
 D results/loeo/B0-log/run_meta.json
 M results/loeo/B0/eval_detail.csv
 M results/loeo/B0/eval_per_event.csv
 M results/loeo/B0/eval_scores.csv
 M results/loeo/B0/eval_summary.csv
 M results/loeo/B0/loss_curve.png
 M results/loeo/B0/loss_history.csv
 M results/loeo/B0/params.csv
 M results/loeo/B0/predictions.csv
 M results/loeo/B0/run_meta.json
 M results/loeo/B1/eval_detail.csv
 M results/loeo/B1/eval_per_event.csv
 M results/loeo/B1/eval_scores.csv
 M results/loeo/B1/eval_summary.csv
 M results/loeo/B1/loss_curve.png
 M results/loeo/B1/loss_history.csv
 M results/loeo/B1/params.csv
 M results/loeo/B1/predictions.csv
 M results/loeo/B1/run_meta.json
 D ""results/loeo/B2-log/2000 \353\217\227\355\206\240\353\246\254/eval_detail.csv""
 D ""results/loeo/B2-log/2000 \353\217\227\355\206\240\353\246\254/eval_per_event.csv""
 D ""results/loeo/B2-log/2000 \353\217\227\355\206\240\353\246\254/eval_scores.csv""
 D ""results/loeo/B2-log/2000 \353\217\227\355\206\240\353\246\254/eval_summary.csv""
 D ""results/loeo/B2-log/2000 \353\217\227\355\206\240\353\246\254/loss_curve.png""
 D ""results/loeo/B2-log/2000 \353\217\227\355\206\240\353\246\254/loss_history.csv""
 D ""results/loeo/B2-log/2000 \353\217\227\355\206\240\353\246\254/params.csv""
 D ""results/loeo/B2-log/2000 \353\217\227\355\206\240\353\246\254/predictions.csv""
 D ""results/loeo/B2-log/2000 \353\217\227\355\206\240\353\246\254/run_meta.json""
 D ""results/loeo/B2-log/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_detail.csv""
 D ""results/loeo/B2-log/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_per_event.csv""
 D ""results/loeo/B2-log/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_scores.csv""
 D ""results/loeo/B2-log/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_summary.csv""
 D ""results/loeo/B2-log/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/loss_curve.png""
 D ""results/loeo/B2-log/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/loss_history.csv""
 D ""results/loeo/B2-log/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/params.csv""
 D ""results/loeo/B2-log/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/predictions.csv""
 D ""results/loeo/B2-log/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/run_meta.json""
 D ""results/loeo/B2-log/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_detail.csv""
 D ""results/loeo/B2-log/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_per_event.csv""
 D ""results/loeo/B2-log/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_scores.csv""
 D ""results/loeo/B2-log/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_summary.csv""
 D ""results/loeo/B2-log/2016 \352\265\254\353\247\210\353\252\250\355\206\240/loss_curve.png""
 D ""results/loeo/B2-log/2016 \352\265\254\353\247\210\353\252\250\355\206\240/loss_history.csv""
 D ""results/loeo/B2-log/2016 \352\265\254\353\247\210\353\252\250\355\206\240/params.csv""
 D ""results/loeo/B2-log/2016 \352\265\254\353\247\210\353\252\250\355\206\240/predictions.csv""
 D ""results/loeo/B2-log/2016 \352\265\254\353\247\210\353\252\250\355\206\240/run_meta.json""
 D ""results/loeo/B2-log/2018 \354\230\244\354\202\254\354\271\264/eval_detail.csv""
 D ""results/loeo/B2-log/2018 \354\230\244\354\202\254\354\271\264/eval_per_event.csv""
 D ""results/loeo/B2-log/2018 \354\230\244\354\202\254\354\271\264/eval_scores.csv""
 D ""results/loeo/B2-log/2018 \354\230\244\354\202\254\354\271\264/eval_summary.csv""
 D ""results/loeo/B2-log/2018 \354\230\244\354\202\254\354\271\264/loss_curve.png""
 D ""results/loeo/B2-log/2018 \354\230\244\354\202\254\354\271\264/loss_history.csv""
 D ""results/loeo/B2-log/2018 \354\230\244\354\202\254\354\271\264/params.csv""
 D ""results/loeo/B2-log/2018 \354\230\244\354\202\254\354\271\264/predictions.csv""
 D ""results/loeo/B2-log/2018 \354\230\244\354\202\254\354\271\264/run_meta.json""
 D ""results/loeo/B2-log/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_detail.csv""
 D ""results/loeo/B2-log/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_per_event.csv""
 D ""results/loeo/B2-log/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_scores.csv""
 D ""results/loeo/B2-log/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_summary.csv""
 D ""results/loeo/B2-log/2018 \355\233\227\354\271\264\354\235\264\353\217\204/loss_curve.png""
 D ""results/loeo/B2-log/2018 \355\233\227\354\271\264\354\235\264\353\217\204/loss_history.csv""
 D ""results/loeo/B2-log/2018 \355\233\227\354\271\264\354\235\264\353\217\204/params.csv""
 D ""results/loeo/B2-log/2018 \355\233\227\354\271\264\354\235\264\353\217\204/predictions.csv""
 D ""results/loeo/B2-log/2018 \355\233\227\354\271\264\354\235\264\353\217\204/run_meta.json""
 M ""results/loeo/B2-w1/2000 \353\217\227\355\206\240\353\246\254/eval_detail.csv""
 M ""results/loeo/B2-w1/2000 \353\217\227\355\206\240\353\246\254/eval_per_event.csv""
 M ""results/loeo/B2-w1/2000 \353\217\227\355\206\240\353\246\254/eval_scores.csv""
 M ""results/loeo/B2-w1/2000 \353\217\227\355\206\240\353\246\254/eval_summary.csv""
 M ""results/loeo/B2-w1/2000 \353\217\227\355\206\240\353\246\254/loss_curve.png""
 M ""results/loeo/B2-w1/2000 \353\217\227\355\206\240\353\246\254/loss_history.csv""
 M ""results/loeo/B2-w1/2000 \353\217\227\355\206\240\353\246\254/params.csv""
 M ""results/loeo/B2-w1/2000 \353\217\227\355\206\240\353\246\254/predictions.csv""
 M ""results/loeo/B2-w1/2000 \353\217\227\355\206\240\353\246\254/run_meta.json""
 M ""results/loeo/B2-w1/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_detail.csv""
 M ""results/loeo/B2-w1/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_per_event.csv""
 M ""results/loeo/B2-w1/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_scores.csv""
 M ""results/loeo/B2-w1/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_summary.csv""
 M ""results/loeo/B2-w1/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/loss_curve.png""
 M ""results/loeo/B2-w1/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/loss_history.csv""
 M ""results/loeo/B2-w1/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/params.csv""
 M ""results/loeo/B2-w1/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/predictions.csv""
 M ""results/loeo/B2-w1/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/run_meta.json""
 M ""results/loeo/B2-w1/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_detail.csv""
 M ""results/loeo/B2-w1/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_per_event.csv""
 M ""results/loeo/B2-w1/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_scores.csv""
 M ""results/loeo/B2-w1/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_summary.csv""
 M ""results/loeo/B2-w1/2016 \352\265\254\353\247\210\353\252\250\355\206\240/loss_curve.png""
 M ""results/loeo/B2-w1/2016 \352\265\254\353\247\210\353\252\250\355\206\240/loss_history.csv""
 M ""results/loeo/B2-w1/2016 \352\265\254\353\247\210\353\252\250\355\206\240/params.csv""
 M ""results/loeo/B2-w1/2016 \352\265\254\353\247\210\353\252\250\355\206\240/predictions.csv""
 M ""results/loeo/B2-w1/2016 \352\265\254\353\247\210\353\252\250\355\206\240/run_meta.json""
 M ""results/loeo/B2-w1/2018 \354\230\244\354\202\254\354\271\264/eval_detail.csv""
 M ""results/loeo/B2-w1/2018 \354\230\244\354\202\254\354\271\264/eval_per_event.csv""
 M ""results/loeo/B2-w1/2018 \354\230\244\354\202\254\354\271\264/eval_scores.csv""
 M ""results/loeo/B2-w1/2018 \354\230\244\354\202\254\354\271\264/eval_summary.csv""
 M ""results/loeo/B2-w1/2018 \354\230\244\354\202\254\354\271\264/loss_curve.png""
 M ""results/loeo/B2-w1/2018 \354\230\244\354\202\254\354\271\264/loss_history.csv""
 M ""results/loeo/B2-w1/2018 \354\230\244\354\202\254\354\271\264/params.csv""
 M ""results/loeo/B2-w1/2018 \354\230\244\354\202\254\354\271\264/predictions.csv""
 M ""results/loeo/B2-w1/2018 \354\230\244\354\202\254\354\271\264/run_meta.json""
 M ""results/loeo/B2-w1/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_detail.csv""
 M ""results/loeo/B2-w1/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_per_event.csv""
 M ""results/loeo/B2-w1/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_scores.csv""
 M ""results/loeo/B2-w1/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_summary.csv""
 M ""results/loeo/B2-w1/2018 \355\233\227\354\271\264\354\235\264\353\217\204/loss_curve.png""
 M ""results/loeo/B2-w1/2018 \355\233\227\354\271\264\354\235\264\353\217\204/loss_history.csv""
 M ""results/loeo/B2-w1/2018 \355\233\227\354\271\264\354\235\264\353\217\204/params.csv""
 M ""results/loeo/B2-w1/2018 \355\233\227\354\271\264\354\235\264\353\217\204/predictions.csv""
 M ""results/loeo/B2-w1/2018 \355\233\227\354\271\264\354\235\264\353\217\204/run_meta.json""
 M ""results/loeo/B2-w10/2000 \353\217\227\355\206\240\353\246\254/eval_detail.csv""
 M ""results/loeo/B2-w10/2000 \353\217\227\355\206\240\353\246\254/eval_per_event.csv""
 M ""results/loeo/B2-w10/2000 \353\217\227\355\206\240\353\246\254/eval_scores.csv""
 M ""results/loeo/B2-w10/2000 \353\217\227\355\206\240\353\246\254/eval_summary.csv""
 M ""results/loeo/B2-w10/2000 \353\217\227\355\206\240\353\246\254/loss_curve.png""
 M ""results/loeo/B2-w10/2000 \353\217\227\355\206\240\353\246\254/loss_history.csv""
 M ""results/loeo/B2-w10/2000 \353\217\227\355\206\240\353\246\254/params.csv""
 M ""results/loeo/B2-w10/2000 \353\217\227\355\206\240\353\246\254/predictions.csv""
 M ""results/loeo/B2-w10/2000 \353\217\227\355\206\240\353\246\254/run_meta.json""
 M ""results/loeo/B2-w10/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_detail.csv""
 M ""results/loeo/B2-w10/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_per_event.csv""
 M ""results/loeo/B2-w10/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_scores.csv""
 M ""results/loeo/B2-w10/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_summary.csv""
 M ""results/loeo/B2-w10/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/loss_curve.png""
 M ""results/loeo/B2-w10/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/loss_history.csv""
 M ""results/loeo/B2-w10/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/params.csv""
 M ""results/loeo/B2-w10/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/predictions.csv""
 M ""results/loeo/B2-w10/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/run_meta.json""
 M ""results/loeo/B2-w10/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_detail.csv""
 M ""results/loeo/B2-w10/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_per_event.csv""
 M ""results/loeo/B2-w10/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_scores.csv""
 M ""results/loeo/B2-w10/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_summary.csv""
 M ""results/loeo/B2-w10/2016 \352\265\254\353\247\210\353\252\250\355\206\240/loss_curve.png""
 M ""results/loeo/B2-w10/2016 \352\265\254\353\247\210\353\252\250\355\206\240/loss_history.csv""
 M ""results/loeo/B2-w10/2016 \352\265\254\353\247\210\353\252\250\355\206\240/params.csv""
 M ""results/loeo/B2-w10/2016 \352\265\254\353\247\210\353\252\250\355\206\240/predictions.csv""
 M ""results/loeo/B2-w10/2016 \352\265\254\353\247\210\353\252\250\355\206\240/run_meta.json""
 M ""results/loeo/B2-w10/2018 \354\230\244\354\202\254\354\271\264/eval_detail.csv""
 M ""results/loeo/B2-w10/2018 \354\230\244\354\202\254\354\271\264/eval_per_event.csv""
 M ""results/loeo/B2-w10/2018 \354\230\244\354\202\254\354\271\264/eval_scores.csv""
 M ""results/loeo/B2-w10/2018 \354\230\244\354\202\254\354\271\264/eval_summary.csv""
 M ""results/loeo/B2-w10/2018 \354\230\244\354\202\254\354\271\264/loss_curve.png""
 M ""results/loeo/B2-w10/2018 \354\230\244\354\202\254\354\271\264/loss_history.csv""
 M ""results/loeo/B2-w10/2018 \354\230\244\354\202\254\354\271\264/params.csv""
 M ""results/loeo/B2-w10/2018 \354\230\244\354\202\254\354\271\264/predictions.csv""
 M ""results/loeo/B2-w10/2018 \354\230\244\354\202\254\354\271\264/run_meta.json""
 M ""results/loeo/B2-w10/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_detail.csv""
 M ""results/loeo/B2-w10/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_per_event.csv""
 M ""results/loeo/B2-w10/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_scores.csv""
 M ""results/loeo/B2-w10/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_summary.csv""
 M ""results/loeo/B2-w10/2018 \355\233\227\354\271\264\354\235\264\353\217\204/loss_curve.png""
 M ""results/loeo/B2-w10/2018 \355\233\227\354\271\264\354\235\264\353\217\204/loss_history.csv""
 M ""results/loeo/B2-w10/2018 \355\233\227\354\271\264\354\235\264\353\217\204/params.csv""
 M ""results/loeo/B2-w10/2018 \355\233\227\354\271\264\354\235\264\353\217\204/predictions.csv""
 M ""results/loeo/B2-w10/2018 \355\233\227\354\271\264\354\235\264\353\217\204/run_meta.json""
 M ""results/loeo/B2/2000 \353\217\227\355\206\240\353\246\254/eval_detail.csv""
 M ""results/loeo/B2/2000 \353\217\227\355\206\240\353\246\254/eval_per_event.csv""
 M ""results/loeo/B2/2000 \353\217\227\355\206\240\353\246\254/eval_scores.csv""
 M ""results/loeo/B2/2000 \353\217\227\355\206\240\353\246\254/eval_summary.csv""
 M ""results/loeo/B2/2000 \353\217\227\355\206\240\353\246\254/loss_curve.png""
 M ""results/loeo/B2/2000 \353\217\227\355\206\240\353\246\254/loss_history.csv""
 M ""results/loeo/B2/2000 \353\217\227\355\206\240\353\246\254/params.csv""
 M ""results/loeo/B2/2000 \353\217\227\355\206\240\353\246\254/predictions.csv""
 M ""results/loeo/B2/2000 \353\217\227\355\206\240\353\246\254/run_meta.json""
 M ""results/loeo/B2/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_detail.csv""
 M ""results/loeo/B2/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_per_event.csv""
 M ""results/loeo/B2/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_scores.csv""
 M ""results/loeo/B2/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/eval_summary.csv""
 M ""results/loeo/B2/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/loss_curve.png""
 M ""results/loeo/B2/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/loss_history.csv""
 M ""results/loeo/B2/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/params.csv""
 M ""results/loeo/B2/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/predictions.csv""
 M ""results/loeo/B2/2004 \353\213\210\352\260\200\355\203\200\355\230\204\354\243\274\354\227\220\354\223\260/run_meta.json""
 M ""results/loeo/B2/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_detail.csv""
 M ""results/loeo/B2/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_per_event.csv""
 M ""results/loeo/B2/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_scores.csv""
 M ""results/loeo/B2/2016 \352\265\254\353\247\210\353\252\250\355\206\240/eval_summary.csv""
 M ""results/loeo/B2/2016 \352\265\254\353\247\210\353\252\250\355\206\240/loss_curve.png""
 M ""results/loeo/B2/2016 \352\265\254\353\247\210\353\252\250\355\206\240/loss_history.csv""
 M ""results/loeo/B2/2016 \352\265\254\353\247\210\353\252\250\355\206\240/params.csv""
 M ""results/loeo/B2/2016 \352\265\254\353\247\210\353\252\250\355\206\240/predictions.csv""
 M ""results/loeo/B2/2016 \352\265\254\353\247\210\353\252\250\355\206\240/run_meta.json""
 M ""results/loeo/B2/2018 \354\230\244\354\202\254\354\271\264/eval_detail.csv""
 M ""results/loeo/B2/2018 \354\230\244\354\202\254\354\271\264/eval_per_event.csv""
 M ""results/loeo/B2/2018 \354\230\244\354\202\254\354\271\264/eval_scores.csv""
 M ""results/loeo/B2/2018 \354\230\244\354\202\254\354\271\264/eval_summary.csv""
 M ""results/loeo/B2/2018 \354\230\244\354\202\254\354\271\264/loss_curve.png""
 M ""results/loeo/B2/2018 \354\230\244\354\202\254\354\271\264/loss_history.csv""
 M ""results/loeo/B2/2018 \354\230\244\354\202\254\354\271\264/params.csv""
 M ""results/loeo/B2/2018 \354\230\244\354\202\254\354\271\264/predictions.csv""
 M ""results/loeo/B2/2018 \354\230\244\354\202\254\354\271\264/run_meta.json""
 M ""results/loeo/B2/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_detail.csv""
 M ""results/loeo/B2/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_per_event.csv""
 M ""results/loeo/B2/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_scores.csv""
 M ""results/loeo/B2/2018 \355\233\227\354\271\264\354\235\264\353\217\204/eval_summary.csv""
 M ""results/loeo/B2/2018 \355\233\227\354\271\264\354\235\264\353\217\204/loss_curve.png""
 M ""results/loeo/B2/2018 \355\233\227\354\271\264\354\235\264\353\217\204/loss_history.csv""
 M ""results/loeo/B2/2018 \355\233\227\354\271\264\354\235\264\353\217\204/params.csv""
 M ""results/loeo/B2/2018 \355\233\227\354\271\264\354\235\264\353\217\204/predictions.csv""
 M ""results/loeo/B2/2018 \355\233\227\354\271\264\354\235\264\353\217\204/run_meta.json""
 D ""results/loeo/LOEO_\352\262\260\352\263\274.xlsx""
 D ""results/loeo/sheet_\353\266\200\355\212\270\354\212\244\355\212\270\353\236\251.csv""
 D ""results/loeo/sheet_\354\213\244\355\226\211\352\270\260\353\241\235.csv""
 D ""results/loeo/sheet_\354\232\224\354\225\275.csv""
 D ""results/loeo/sheet_\354\235\264\353\262\244\355\212\270\353\263\204.csv""
 D ""results/loeo/sheet_\354\236\254\355\230\204.csv""
 D ""results/loeo/sheet_\354\260\270\352\263\240\352\270\260\354\244\200\352\260\222.csv""
 D ""results/loeo/sheet_\355\232\214\354\260\250\353\263\204.csv""
 M run_loeo.sh
 M score_loeo.py
 M train.py
?? results/loeo/B0-logit/
?? results/loeo/B2-logit/",해당 없음(설명 행),해당 없음(설명 행)
실행 스크립트,run_loeo.sh (학습 30회) -> score_loeo.py (채점),해당 없음(설명 행),해당 없음(설명 행)
공통 설정,3000 epoch / Adam lr 0.02 / weight_decay 0 / lam_gamma 10 / seed 0,해당 없음(설명 행),해당 없음(설명 행)
학습 행 수,"418행 (모든 조건 동일, 시험 지진의 피해 건수도 NLL에 포함)",해당 없음(설명 행),해당 없음(설명 행)
평가 행 수,"LS 125행 = 양성 105 / 음성 20. AUC 정의 지진 5개, 가중치 24·10·29·7·13 (합 83)",해당 없음(설명 행),해당 없음(설명 행)
산지 변수,국세조사 mountain_ratio (통계 XLSX 헤더 4번째 줄). loader.py가 학습 418행 기준으로 표준화한 z_mtn을 그대로 사용,해당 없음(설명 행),해당 없음(설명 행)
면적 자료,"USGS XLSX의 area_km2 (e-Stat B1101 총면적). 이벤트 시트별로 들어 있어 합병 전후 면적이 자동 구분된다. 419행 전부 존재, 결측·0 이하 없음",해당 없음(설명 행),해당 없음(설명 행)
위도 처리,시정촌별 위도 자료가 없어 현청 소재지 위도(schema.PREFECTURE_CAPITAL_LAT)를 사용. 지시서 §2-2가 허용한 '지진별 대표 위도'보다 한 단계 세밀하다. 같은 현 안에서는 칸 넓이가 상수라 지진 안 순위에는 영향이 없다,해당 없음(설명 행),해당 없음(설명 행)
