조건,계열,설명,실행 수,LS 사후 가중,LS 사후 전체,LS prior(q_LS) 가중,LS prior(q_LS) 전체,LS USGS pi 가중(참고),LS MSE (시험 83행),LQ 사후 가중,LQ 사후 전체,LQ 비고,kappa 부호,판정
A0,A,"기존 prior, 산지 없음, omega=0 (기존 3번 재현)",1,0.7222,0.727,0.7969,0.777,0.7969,0.3082,0.7458,0.7819,1회 실행,산지 항 없음,기준선(판정 대상 아님)
A1,A,"기존 prior + kappa·m, omega=0",1,0.7479,0.7484,0.7986,0.7802,0.7969,0.2967,0.7454,0.7838,1회 실행,모두 +,기준선(판정 대상 아님)
A2,A,"기존 prior + kappa·m, omega=4.35 (교수님 제안)",5,0.8039,0.781,0.8341,0.7802,0.7969,0.2756,0.759,0.7921,5회차 평균 (회차 범위 0.7574~0.7621),모두 +,성공
B0,B,"면적 항 prior, b=0 고정, omega=0 (면적 항 기준)",1,0.855,0.8349,0.84,0.8286,0.7969,0.1343,0.7812,0.8226,1회 실행,산지 항 없음,기준선(판정 대상 아님)
B1,B,"면적 항 prior + kappa·m, omega=0",1,0.7285,0.7889,0.766,0.8008,0.7969,0.1957,0.7796,0.8226,1회 실행,모두 −,기준선(판정 대상 아님)
B2,B,"면적 항 prior + kappa·m, omega=4.35 (제안 + 면적 항)",5,0.8507,0.8143,0.822,0.7929,0.7969,0.1425,0.7806,0.8227,5회차 평균 (회차 범위 0.7806~0.7806),회차마다 다름,실패 (B2 0.8507 ≤ B0 0.8550)
B2-w1,B,(선택) B2의 omega=1 민감도,5,0.8136,0.8071,0.8154,0.8,0.7969,0.1457,0.7797,0.8229,5회차 평균 (회차 범위 0.7787~0.7803),모두 −,실패 (B2-w1 0.8136 ≤ B0 0.8550)
B2-w10,B,(선택) B2의 omega=10 민감도,5,0.8507,0.8143,0.822,0.7905,0.7969,0.1423,0.7806,0.8226,5회차 평균 (회차 범위 0.7806~0.7806),회차마다 다름,실패 (B2-w10 0.8507 ≤ B0 0.8550)
B0-logit,B,(민감도) B0를 지시서 §2-1 B 표기인 logit(pi) 링크로,1,0.855,0.8349,0.84,0.8286,0.7969,0.1343,0.7768,0.8219,1회 실행,산지 항 없음,기준선(판정 대상 아님)
B2-logit,B,(민감도) B2를 지시서 §2-1 B 표기인 logit(pi) 링크로,5,0.8507,0.8143,0.822,0.7937,0.7969,0.1426,0.7768,0.822,5회차 평균 (회차 범위 0.7766~0.7771),회차마다 다름,실패 (B2-logit 0.8507 ≤ B0-logit 0.8550)
── 참고 기준값 (지시서 §6) ──,해당 없음,아래 네 줄은 비교용 기준값이다,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음
참고,해당 없음,USGS prior 단독,해당 없음,0.797,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,지시서 §6 기준값
참고,해당 없음,산지 비율 단독,해당 없음,0.806,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,지시서 §6 기준값
참고,해당 없음,면적 항 prior 단독,해당 없음,0.84,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,지시서 §6 기준값
참고,해당 없음,"면적 항 사후 (log 버전, 26.09.16 자료)",해당 없음,0.855,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,지시서 §6 기준값
