지진,조건,행 n,양성,음성,AUC prior q_LS,AUC 사후 p_LS
2000 돗토리,A0,24,15,9,0.9037,0.837
2000 돗토리,A1,24,15,9,0.8815,0.8741
2000 돗토리,A2,24,15,9,0.8741,0.8667
2000 돗토리,B0,24,15,9,0.9407,0.9407
2000 돗토리,B1,24,15,9,0.9407,0.9111
2000 돗토리,B2,24,15,9,0.9407,0.9407
2000 돗토리,B2-w1,24,15,9,0.9333,0.9481
2000 돗토리,B2-w10,24,15,9,0.9407,0.9407
2000 돗토리,B0-logit,24,15,9,0.9407,0.9407
2000 돗토리,B2-logit,24,15,9,0.9407,0.9407
2004 니가타현주에쓰,A0,10,8,2,0.875,0.625
2004 니가타현주에쓰,A1,10,8,2,0.9375,0.5625
2004 니가타현주에쓰,A2,10,8,2,0.875,0.75
2004 니가타현주에쓰,B0,10,8,2,0.875,1.0
2004 니가타현주에쓰,B1,10,8,2,0.8125,0.5
2004 니가타현주에쓰,B2,10,8,2,0.875,1.0
2004 니가타현주에쓰,B2-w1,10,8,2,0.875,0.75
2004 니가타현주에쓰,B2-w10,10,8,2,0.875,1.0
2004 니가타현주에쓰,B0-logit,10,8,2,0.875,1.0
2004 니가타현주에쓰,B2-logit,10,8,2,0.875,1.0
2016 구마모토,A0,29,26,3,0.641,0.6667
2016 구마모토,A1,29,26,3,0.7051,0.7436
2016 구마모토,A2,29,26,3,0.8718,0.8462
2016 구마모토,B0,29,26,3,0.8333,0.8333
2016 구마모토,B1,29,26,3,0.6667,0.6923
2016 구마모토,B2,29,26,3,0.7821,0.8333
2016 구마모토,B2-w1,29,26,3,0.7692,0.7949
2016 구마모토,B2-w10,29,26,3,0.7821,0.8333
2016 구마모토,B0-logit,29,26,3,0.8333,0.8333
2016 구마모토,B2-logit,29,26,3,0.7821,0.8333
2018 오사카,A0,7,5,2,1.0,0.8
2018 오사카,A1,7,5,2,1.0,0.8
2018 오사카,A2,7,5,2,1.0,0.9
2018 오사카,B0,7,5,2,1.0,1.0
2018 오사카,B1,7,5,2,0.8,0.9
2018 오사카,B2,7,5,2,1.0,1.0
2018 오사카,B2-w1,7,5,2,1.0,1.0
2018 오사카,B2-w10,7,5,2,1.0,1.0
2018 오사카,B0-logit,7,5,2,1.0,1.0
2018 오사카,B2-logit,7,5,2,1.0,1.0
2018 훗카이도,A0,13,9,4,0.7778,0.6667
2018 훗카이도,A1,13,9,4,0.6389,0.6389
2018 훗카이도,A2,13,9,4,0.5556,0.5833
2018 훗카이도,B0,13,9,4,0.5556,0.5556
2018 훗카이도,B1,13,9,4,0.6111,0.5556
2018 훗카이도,B2,13,9,4,0.5556,0.5278
2018 훗카이도,B2-w1,13,9,4,0.5556,0.5556
2018 훗카이도,B2-w10,13,9,4,0.5556,0.5278
2018 훗카이도,B0-logit,13,9,4,0.5556,0.5556
2018 훗카이도,B2-logit,13,9,4,0.5556,0.5278
