조건,회차,시험 지진,시험 행 n,시험 양성,시험 음성,BCE 대상 행,omega,시험 AUC prior q_LS,시험 AUC 사후 p_LS,kappa,e^kappa,b_LS,a_LS,기존 loss (NLL+패널티),BCE 합,학습 파라미터 수,실행 명령
A0,1,전체(가린 지진 없음),83,63,20,0 (BCE 미사용),0.0,0.777,0.727,산지 항 없음,산지 항 없음,1.9894,0.504,6357.4483,0.0,48,train.py --prior-mode bounded --lam-gamma 10 --b-min -2 --b-max 2 --seed 0 --epochs 3000 --out results/loeo/A0
A1,1,전체(가린 지진 없음),83,63,20,0 (BCE 미사용),0.0,0.7802,0.7484,0.2795,1.3225,1.9895,0.5041,6357.482,0.0,49,train.py --prior-mode bounded --lam-gamma 10 --b-min -2 --b-max 2 --seed 0 --epochs 3000 --mtn-prior --out results/loeo/A1
A2,1,2000 돗토리,24,15,9,101,4.35,0.8741,0.8667,0.9356,2.5489,1.996,0.501,6358.7655,102.5779,49,train.py --prior-mode bounded --lam-gamma 10 --b-min -2 --b-max 2 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2000 돗토리 --out results/loeo/A2/2000 돗토리
A2,2,2004 니가타현주에쓰,10,8,2,115,4.35,0.875,0.75,0.9259,2.5241,1.9959,0.5011,6358.7059,107.36,49,train.py --prior-mode bounded --lam-gamma 10 --b-min -2 --b-max 2 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2004 니가타현주에쓰 --out results/loeo/A2/2004 니가타현주에쓰
A2,3,2016 구마모토,29,26,3,96,4.35,0.8718,0.8462,1.3698,3.9344,1.9953,0.5012,6361.1764,83.3009,49,train.py --prior-mode bounded --lam-gamma 10 --b-min -2 --b-max 2 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2016 구마모토 --out results/loeo/A2/2016 구마모토
A2,4,2018 오사카,7,5,2,118,4.35,1.0,0.9,1.0417,2.8339,1.9956,0.5011,6359.2609,104.766,49,train.py --prior-mode bounded --lam-gamma 10 --b-min -2 --b-max 2 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2018 오사카 --out results/loeo/A2/2018 오사카
A2,5,2018 훗카이도,13,9,4,112,4.35,0.5556,0.5833,0.9871,2.6835,1.9958,0.5011,6358.9984,101.3048,49,train.py --prior-mode bounded --lam-gamma 10 --b-min -2 --b-max 2 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2018 훗카이도 --out results/loeo/A2/2018 훗카이도
B0,1,전체(가린 지진 없음),83,63,20,0 (BCE 미사용),0.0,0.8286,0.8349,산지 항 없음,산지 항 없음,0.0,B 계열: a=1 고정,6382.3108,0.0,44,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --fix-b --out results/loeo/B0
B1,1,전체(가린 지진 없음),83,63,20,0 (BCE 미사용),0.0,0.8008,0.7889,-0.8095,0.4451,-1.9754,B 계열: a=1 고정,6360.1145,0.0,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --out results/loeo/B1
B2,1,2000 돗토리,24,15,9,101,4.35,0.9407,0.9407,-0.0254,0.975,-0.0022,B 계열: a=1 고정,6379.2436,29.5963,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2000 돗토리 --out results/loeo/B2/2000 돗토리
